Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,Price,Dual,Features_1,Single_1,Build,Talk time,Stand-by,Infrared port,Music play,SAR EU,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,Keyboard,Browser
b'micromax',b'Micromax Canvas Nitro 4G E455',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-nitro-4g-e455.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'LTE 1800 / 2100 / 2300',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, August. Released 2015, September'",b'Discontinued',b'140.5 x 69.8 x 9.3 mm (5.53 x 2.75 x 0.37 in)',b'135 g (4.76 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~70.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass 3',b'Android 5.0.2 (Lollipop)',b'Qualcomm MSM8929 Snapdragon 415 (28 nm)',b'Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',b'microSDHC',b'16GB 2GB RAM',b'eMMC 4.5',,b'Dual-LED flash',b'1080p@30fps',"b'13 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2500 mAh, removable'",,b'Black',b'E455',,,,,b'5 MP',,b'Up to 8 h (3G)',b'Up to 273 h (3G)',,,b'0.45 W/kg (head) \xc2\xa0 \xc2\xa0 0.48 W/kg (body)',,,,,,,,,,,
b'micromax',b'Micromax Canvas Selfie 3 Q348',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-3-q348.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, August. Released 2015, August'",b'Discontinued',b'141 x 68.4 x 7.8 mm (5.55 x 2.69 x 0.31 in)',b'110 g (3.88 oz)',b'Dual SIM',b'AMOLED',"b'4.8 inches, 63.5 cm2 (~65.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~306 ppi density)'",b'Corning Gorilla Glass 3',b'Android 5.0 (Lollipop)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'8GB 1GB RAM',,,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2300 mAh, non-removable'",,b'Black',,,,,b'LED flash',b'8 MP',,b'Up to 8 h 30 min',b'Up to 275 h',,,b'0.41 W/kg (head) \xc2\xa0 \xc2\xa0 0.75 W/kg (body)',,,,,,,,,,,
b'micromax',b'Micromax Canvas Selfie 2 Q340',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie2-q340.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, August. Released 2015, August'",b'Discontinued',b'143 x 71.8 x 9 mm (5.63 x 2.83 x 0.35 in)',b'136 g (4.80 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 5.0 (Lollipop)',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'8GB 1GB RAM',,,b'LED flash',b'1080p@30fps',"b'5 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,b'Black',b'Q340',,,,b'LED flash',b'5 MP',,b'Up to 7 h',b'Up to 313 h',,,b'0.36 W/kg (head) \xc2\xa0 \xc2\xa0 0.66 W/kg (body)',,,,,,,,,,,
b'micromax',b'Micromax Canvas Xpress 2 E313',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-xpress2-e313.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, July. Released 2015, August'",b'Discontinued',b'140.5 x 69.8 x 9.3 mm (5.53 x 2.75 x 0.37 in)',b'135 g (4.76 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~70.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 4.4.2 (KitKat)',b'Mediatek MT6592M (28 nm)',b'Octa-core 1.4 GHz Cortex-A7',b'Mali-450MP4',b'microSDHC',b'8GB 1GB RAM',,,b'Dual-LED flash',b'1080p@30fps',"b'13 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2500 mAh, removable'",,b'Black',b'E313',b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 0.48 W/kg (body)',b'About 90 EUR',,,b'2 MP',,b'Up to 9 h 30 min (3G)',b'Up to 393 h (3G)',,,,,,,,,,,,,,
b'micromax',b'Micromax Bolt D303',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-d303.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, July. Released 2015, July'",b'Discontinued',b'-',b'-',b'Dual SIM',"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,,b'LED flash',b'480p@30fps',b'3.15 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1300 mAh, removable'",,b'Black',,b'0.39 W/kg (head) \xc2\xa0 \xc2\xa0 0.64 W/kg (body)',,,,b'VGA',,b'Up to 4 h 40 min (3G)',b'Up to 245 h (3G)',,,,,,,,,,,,,,
b'micromax',b'Micromax Bolt S301',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-s301.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2015, July. Released 2015, August'",b'Discontinued',b'-',b'-',b'Dual SIM',"b'TFT, 256K colors'","b'3.5 inches, 33.8 cm2'","b'480 x 854 pixels, 16:9 ratio (~280 ppi density)'",,"b'Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)'",,b'1.0 GHz',,b'microSDHC',b'4GB 512MB RAM',,,,b'Yes',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',b'A-GPS only',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1200 mAh, removable'",,"b'Black, White'",,,b'About 40 EUR',,,b'VGA',,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Canvas Selfie Lens Q345',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-lens-plus-q345.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, June. Released 2015, June'",b'Discontinued',b'143 x 71 x 8.1 mm (5.63 x 2.80 x 0.32 in)',b'144 g (5.08 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass 3',b'Android 5.0 (Lollipop)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,b'LED flash',b'720p@30fps',"b'8 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2800 mAh, non-removable'",,"b'Champagne, Moondust Gray'",b'Q345',,b'About 120 EUR',,,b'5 MP',,b'Up to 9 h (3G)',b'Up to 374 h (3G)',,,b'0.35 W/kg (head) \xc2\xa0 \xc2\xa0 0.86 W/kg (body)',,,,,,,,,,,
b'micromax',b'Micromax Canvas Sliver 5 Q450',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-sliver-5--1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',b'LTE 800 / 1800 / 2600 TD-LTE 2300',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, June. Released 2015, July'",b'Discontinued',b'5.1 mm thickness',b'97 g (3.42 oz)',b'Nano-SIM',b'AMOLED',"b'4.8 inches, 63.5 cm2'","b'720 x 1280 pixels, 16:9 ratio (~306 ppi density)'",b'Corning Gorilla Glass 3',b'Android 5.0.2 (Lollipop)',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',b'Quad-core 1.2 GHz Cortex-A53',b'Adreno 306',b'No',b'16GB 2GB RAM',b'eMMC 4.5',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2000 mAh, non-removable'",,b'White',b'Q450',,b'About 250 EUR',,,b'5 MP',,b'Up to 8 h (3G)',b'Up to 345 h (3G)',,,b'0.31 W/kg (head) \xc2\xa0 \xc2\xa0 1.07 W/kg (body)',,,,,,,,,,,
b'micromax',b'Micromax Canvas Tab P690',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-tab-p690.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, June. Released 2015, June'",b'Discontinued',b'',b'-',b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",,"b'Android 4.4.4 (KitKat), upgradable to 5.0.2 (Lollipop)'",b'Intel Atom',b'Quad-core 1.83 GHz',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,,b'720p',"b'5 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,b'Gray',,b'0.20 W/kg (head) \xc2\xa0 \xc2\xa0 1.17 W/kg (body)',b'About 130 EUR',,,b'2 MP',,b'Up to 13 h 30 min (3G)',b'Up to 180 h (3G)',,,,,,,,,,,,,,
b'micromax',b'Micromax Canvas Knight 2 E471',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-knight-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'LTE 1800 / 2100 / 2300',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, June. Released 2015, June'",b'Discontinued',b'6.3 mm thickness',b'-',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'AMOLED',"b'5.0 inches, 68.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass 3',b'Android 5.0 (Lollipop)',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',b'microSDHC (uses shared SIM slot)',b'16GB 2GB RAM',b'eMMC 4.5',,b'Dual-LED flash',b'1080p@30fps',"b'13 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2260 mAh, non-removable'",,"b'White, Gold'",,,b'About 230 EUR',,,b'5 MP',"b'Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame'",b'Up to 7 h 45 min (3G)',b'Up to 335 h (3G)',,,b'0.31 W/kg (head) \xc2\xa0 \xc2\xa0 1.07 W/kg (body)',,,,,,,,,,,
