Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play,RMA161
b'realme',b'Realme C2 2020',b'https://fdn2.gsmarena.com/vv/bigpic/realme-c2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, November'","b'Available. Released 2019, November'",b'154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in)',b'166 g (5.86 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.1 inches, 91.3 cm2 (~80.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'","b'Android 9.0 (Pie), ColorOS 6 Lite'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 3GB RAM'",,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.0, 1/5"", 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Diamond Black, Diamond Blue'",,b'About 100 EUR',"b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",b'Corning Gorilla Glass 3',,,,,"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme X2 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/realme-x2-pro.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - China',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - China'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2019, October 15'","b'Available. Released 2019, October'",b'161 x 75.7 x 8.7 mm (6.34 x 2.98 x 0.34 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 90Hz, HDR10+, 1000 nits (peak)'","b'6.5 inches, 103.5 cm2 (~84.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, realme UI'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',"b'64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'",,"b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'HDR',"b'1080p@30fps, gyro-EIS'","b'Yes, with Dolby Atmos stereo speakers (2 dedicated amplifiers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 50W, 100% in 35 min (advertised) SuperVOOC'","b'Lunar White, Neptune Blue, Red Master Edition, Gray Master Edition'",b'RMX1931',"b'$\xe2\x80\x89405.90 / \xe2\x82\xb9\xe2\x80\x8925,878'","b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Corning Gorilla Glass 5',"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.5, 52mm (telephoto), 1/3.4"", 1.0\xc2\xb5m, PDAF, 2x optical zoom 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, (depth)'",b'CDMA2000 1xEV-DO',b'24-bit/192kHz audio (incl. speakers)',b'$\xe2\x80\x89481.00',,,,,,"b'AnTuTu: 396827 (v7), 467653 (v8) GeekBench: 10373 (v4.4) GFXBench: 37fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 82dB / Noise 75dB / Ring 91dB',b'Endurance rating 94h',,,,,b'$\xe2\x80\x89785.00',,,b'Noise -91.3dB / Crosstalk -92.5dB',,,,b'$\xe2\x80\x89497.77',,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme X2',b'https://fdn2.gsmarena.com/vv/bigpic/realme-xt-730g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2019, September 24'","b'Available. Released 2019, September'",b'158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in)',b'182 g (6.42 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.4 inches, 100.5 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, realme UI'",b'Qualcomm SDM730 Snapdragon 730G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 30W, 67% in 30 min (advertised) VOOC 4.0'","b'Pearl White, Pearl Blue, Pearl Green'","b'RMX1992, RMX1993, RMX1991'","b'$\xe2\x80\x89250.87 / \xe2\x82\xb9\xe2\x80\x8918,999'","b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame'",b'Corning Gorilla Glass 5',"b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,"b'AnTuTu: 215578 (v7), 257443 (v8) GeekBench: 6926 (v4.4), 1750 (v5.1) GFXBench: 13fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-28.0 LUFS (Good)',b'Endurance rating 105h',"b'\xe2\x82\xb9\xe2\x80\x8919,499'","b'\xe2\x82\xb9\xe2\x80\x8918,999'",,,,,,b'Noise -92.6dB / Crosstalk -88.1dB',,,,b'$\xe2\x80\x89319.00',,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme XT 730G',b'https://fdn2.gsmarena.com/vv/bigpic/realme-xt-730g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'",b'Not announced yet',b'Cancelled',b'158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.4 inches, 100.5 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), planned upgrade to Android 10, ColorOS 6'",b'Qualcomm SDM730 Snapdragon 730G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 30W VOOC 3.0',"b'Pearl White, Pearl Blue'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame'",b'Corning Gorilla Glass 5',"b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme XT',b'https://fdn2.gsmarena.com/vv/bigpic/realme-xt.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2019, September 13'","b'Available. Released 2019, September'",b'158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.4 inches, 100.5 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, Realme UI'",b'Qualcomm SDM712 Snapdragon 712 (10 nm)',b'Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 20W VOOC 3.0',"b'Pearl White, Pearl Blue'",b'RMX1921',b'$\xe2\x80\x89289.99 / \xe2\x82\xac\xe2\x80\x89289.18',"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame'",b'Corning Gorilla Glass 5',"b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,b'$\xe2\x80\x89299.99',,,,,,b'AnTuTu: 185193 (v7) GeekBench: 6102 (v4.4) GFXBench: 13fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 68dB / Noise 74dB / Ring 89dB',b'Endurance rating 100h',,,,,,,,b'Noise -92.2dB / Crosstalk -91.4dB',,,,b'$\xe2\x80\x89289.99',,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Q',b'https://fdn2.gsmarena.com/vv/bigpic/realme-5-pro-rmx1971.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 2100',"b'1, 3, 4, 5, 8, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2019, September'","b'Available. Released 2019, September'",b'157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'Android 9.0 (Pie), ColorOS 6'",b'Qualcomm SDM712 Snapdragon 712 (10 nm)',b'Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4035 mAh, non-removable'","b'Fast charging 20W, 50% in 30 min (advertised) VOOC 3.0'","b'Light Green, Light Blue'",,b'About 130 EUR',"b'Glass front (Gorilla Glass 3+), plastic back, plastic frame'",b'Corning Gorilla Glass 3+',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'Weather-sealed ports & loudspeaker',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme 5 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/realme-5-pro-rmx1971.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA'",b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41 - India'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2019, August 20'","b'Available. Released 2019, September'",b'157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ)'","b'6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, Realme UI'",b'Qualcomm SDM712 Snapdragon 712 (10 nm)',b'Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4035 mAh, non-removable'","b'Fast charging 20W, 50% in 30 min (advertised) VOOC 3.0'","b'Crystal Green, Crystal Blue, Chroma White'",b'RMX1971',"b'\xc2\xa3\xe2\x80\x89168.68 / \xe2\x82\xac\xe2\x80\x89329.88 / \xe2\x82\xb9\xe2\x80\x8914,999'","b'Glass front (Gorilla Glass 3+), plastic back, plastic frame'",b'Corning Gorilla Glass 3+',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'Weather-sealed ports & loudspeaker',b'UFS 2.1',b'\xc2\xa3\xe2\x80\x89220.88',,,,,b'\xc2\xa3\xe2\x80\x89168.68',b'AnTuTu: 182765 (v7) GeekBench: 6106 (v4.4) GFXBench: 12fps (ES 3.1 onscreen)',b'Contrast ratio: 1875:1 (nominal)',b'Photo / Video',b'Voice 66dB / Noise 72dB / Ring 85dB',b'Endurance rating 100h',,,,,,,,b'Noise -93.3dB / Crosstalk -92.0dB',,,,"b'\xe2\x82\xb9\xe2\x80\x8914,999'",,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme 5',b'https://fdn2.gsmarena.com/vv/bigpic/realme-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Weather-sealed ports & loudspeaker',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) 450/50 Mbps'","b'2019, August 20'","b'Available. Released 2019, August'",b'164.4 x 75.6 x 9.3 mm (6.47 x 2.98 x 0.37 in)',b'198 g (6.98 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.8 cm2 (~82.7% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, Realme UI'",b'Qualcomm SDM665 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'13 MP, f/2.0, 26mm (wide), 1/3.1"", 1.12\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Crystal Purple, Crystal Blue'",b'RMX1911',b'$\xe2\x80\x89189.00 / \xc2\xa3\xe2\x80\x89134.90',"b'Glass front (Gorilla Glass 3+), plastic back, plastic frame'",b'Corning Gorilla Glass 3+',"b'12 MP, f/1.8, (wide), 1/2.9"", 1.25\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'eMMC',,,,,b'$\xe2\x80\x89189.00',,b'$\xe2\x80\x89219.00',b'AnTuTu: 139516 (v7) GeekBench: 5707 (v4.4) GFXBench: 13fps (ES 3.1 onscreen)',b'Contrast ratio: 1406:1 (nominal)',b'Photo / Video',b'Voice 66dB / Noise 73dB / Ring 89dB',b'Endurance rating 144h',,,,,,,,,b'$\xe2\x80\x89219.99',,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme 3i',b'https://fdn2.gsmarena.com/vv/bigpic/realme-3i.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, July'","b'Available. Released 2019, July'",b'156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, Realme UI'",b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'",,"b'LED flash, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4230 mAh, non-removable'",,"b'Diamond Blue, Diamond Red, Diamond Black'",b'RMX1827',b'About 8000 INR',"b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",b'Corning Gorilla Glass 3',,,,,"b'13 MP, f/1.8, 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme X',b'https://fdn2.gsmarena.com/vv/bigpic/realme-x.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA - China',b'HSDPA 850 / 900 / 1700(AWS) / 2100',"b'1, 3, 4, 5, 8, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps'","b'2019, May'","b'Available. Released 2019, July'",b'161.2 x 76 x 9.4 mm (6.35 x 2.99 x 0.37 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'6.53 inches, 105.2 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, Realme UI'",b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'No',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",,"b'LED flash, HDR'","b'4K@30fps, 1080p@30fps (gyro-EIS), 1080p@120fps, 720p@960fps'","b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'USB Type-C',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3765 mAh, non-removable'","b'Fast charging 20W, 55% in 30 min (advertised) VOOC 3.0'","b'Steam white, Punk Blue'","b'RMX1901, RMX1903'","b'$\xe2\x80\x89349.00 / \xc2\xa3\xe2\x80\x89257.90 / \xe2\x82\xb9\xe2\x80\x8917,990'","b'Glass front (Gorilla Glass 5), plastic back, plastic frame'",b'Corning Gorilla Glass 5',,b'UFS 2.1',,b'$\xe2\x80\x89499.00',"b'48 MP, f/1.7, (wide), 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (depth)'",,,,b'$\xe2\x80\x89349.00',b'GeekBench: 5915 (v4.4)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-28.7 LUFS (Average)',b'Endurance rating 86h',,,,,,,,b'Noise -92.9dB / Crosstalk -93.3dB',,,,,,,,,,,,,,,,,,,,,,,,,
