Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,Chipset,GPU,SAR EU,GPRS,EDGE,,_1,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1
b'karbonn',b'Karbonn A4',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a4.jpg',b'GSM / HSPA',b'GSM 850 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSPA',"b'2013, March. Released 2013, March'",b'Discontinued',b'124.8 x 66 x 9.5 mm (4.91 x 2.60 x 0.37 in)',b'75 g (2.65 oz)',,b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'4.0 inches, 47.6 cm2 (~57.8% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~144 ppi density)'",,b'Android 2.3.6 (Gingerbread)',,b'microSDHC (dedicated slot)',b'256MB 512MB',b'3.15 MP',,b'Yes',b'Yes',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',b'No',b'No',b'FM radio',b'Proprietary',b'Accelerometer',b'Li-Ion 1400 mAh battery',b'White/Black',b'About 70 EUR',b'Up to 250 h',b'Up to 4 h 20 min',,,,,,b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 850 / 1900',,,,,,,
b'karbonn',b'Karbonn A3',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a3.jpg',b'GSM',b'GSM 850 / 1900 - SIM 1 & SIM 2',,,"b'2013, March. Released 2013, March'",b'Discontinued',b'113 x 61 x 13.5 mm (4.45 x 2.40 x 0.53 in)',b'90 g (3.17 oz)',,b'Dual SIM (Mini-SIM)',b'TFT',"b'4.0 inches, 47.6 cm2 (~69.1% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~144 ppi density)'",,b'Android 2.3.6 (Gingerbread)',b'1.0 GHz',b'microSDHC (dedicated slot)',"b'256MB RAM, 512MB'",b'3.15 MP',,b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',b'No',b'No',b'FM radio',b'Proprietary',b'Accelerometer',b'Li-Ion 1400 mAh battery',b'White/Black',b'About 70 EUR',b'Up to 250 h',b'Up to 4 h 20 min',,,,b'Yes',b'Yes',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,,
b'karbonn',b'Karbonn A2',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a2.jpg',b'GSM',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, March. Released 2013, March'",b'Discontinued',b'124 x 63.6 x 12.4 mm (4.88 x 2.50 x 0.49 in)',b'110 g (3.88 oz)',,b'Dual SIM (Mini-SIM)',b'TFT',"b'4.0 inches, 45.5 cm2 (~57.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 2.3.6 (Gingerbread)',,b'microSDHC (dedicated slot)',b'200MB',b'3.15 MP',,b'Yes',b'Yes',b'',b'Yes',b'Yes',b'No',b'Yes',b'No',b'No',b'FM radio',b'Proprietary',b'Accelerometer',b'Li-Ion 1750 mAh battery',b'White/Black',b'About 70 EUR',b'Up to 120 h',b'Up to 3 h 30 min',,,,b'Yes',b'Yes',,,,,,,,,
b'karbonn',b'Karbonn S5 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-s5-titanium.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA 7.2/0.384 Mbps',"b'2013, March. Released 2013, May'",b'Discontinued',b'144 x 72 x 9 mm (5.67 x 2.83 x 0.35 in)',b'200 g (7.05 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'Android 4.1 (Jelly Bean)',b'Quad-core 1.2 GHz Cortex-A5',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',"b'8 MP, AF'",b'LED flash',b'Yes',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",b'Blue',b'About 160 EUR',b'Up to 200 h (2G) / Up to 200 h (3G)',b'Up to 13 h (2G) / Up to 11 h (3G)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Adreno 203',,,,,,,,,,,,
b'karbonn',b'Karbonn S1 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-s1.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2013, January. Released 2013, January'",b'Discontinued',b'134.6 x 66 x 9.3 mm (5.30 x 2.60 x 0.37 in)',b'-',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~62.8% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.1 (Jelly Bean)',b'Quad-core 1.2 GHz',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'Yes',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 1600 mAh battery',"b'Black, White'",b'About 150 EUR',b'Up to 200 h',b'Up to 4 h',,,,,,,,,,,,,,
b'karbonn',b'Karbonn Smart Tab 9',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-st9.jpg',b'No cellular connectivity',b'N/A',,,b'2012. Released 2012',b'Discontinued',b'-',b'-',,b'No',b'TFT',"b'9.0 inches, 230.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~104 ppi density)'",,b'Android 4.0.4 (Ice Cream Sandwich)',b'1.2 GHz',b'microSDHC (dedicated slot)',b'2GB 512MB RAM',b'1.3 MP',,b'Yes',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'No',b'No',b'Proprietary',b'Accelerometer',"b'Li-Ion 4000 mAh, non-removable'",b'Black/White',b'About 90 EUR',,b'Up to 6 h (multimedia)',,,,b'No',b'No',b'No',,,,,,,,
b'karbonn',b'Karbonn Smart Tab 8',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-st8.jpg',b'No cellular connectivity',b'N/A',,,b'2012. Released 2012',b'Discontinued',b'-',b'-',,b'No',b'TFT',"b'8.0 inches, 198.2 cm2'","b'1024 x 768 pixels, 4:3 ratio (~160 ppi density)'",,b'Android 4.1.1 (Jelly Bean)',b'Dual-core 1.5 GHz Cortex-A9',b'microSDHC (dedicated slot)',b'1.5GB 1GB RAM',b'3.15 MP',,b'Yes',b'Yes',b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'No',b'No',b'Proprietary',b'Accelerometer',"b'Li-Ion 4500 mAh, non-removable'",b'Black/White',b'About 100 EUR',,,,,,b'No',b'No',b'HDMI port',,,,,,,,
b'karbonn',b'Karbonn Smart Tab 10',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-st10.jpg',b'No cellular connectivity',b'N/A',,,b'2012. Released 2012',b'Discontinued',b'-',b'-',,b'No',b'TFT',"b'9.7 inches, 291.4 cm2'","b'1024 x 768 pixels, 4:3 ratio (~132 ppi density)'",,b'Android 4.1.1 (Jelly Bean)',b'Dual-core 1.5 GHz Cortex-A9',b'microSDHC (dedicated slot)',b'1.5GB 1GB RAM',b'2 MP',,b'Yes',b'Yes',b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'No',b'No',b'Proprietary',b'Accelerometer',"b'Li-Ion 6000 mAh, non-removable'",b'Black/White',b'About 140 EUR',,,,b'Mali-400',,b'No',b'No',b'HDMI port',,,,,,,,
b'karbonn',b'Karbonn Smart Tab2',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-st72.jpg',b'No cellular connectivity',b'N/A',,,b'2012. Released 2012',b'Discontinued',b'-',b'-',,b'No',b'TFT',"b'7.0 inches, 139.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~133 ppi density)'",b'Corning Gorilla Glass',b'Android 4.1 (Jelly Bean)',b'1.2 GHz',b'microSDHC (dedicated slot)',b'1GB 512MB RAM',b'2 MP',,b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct'","b'4.0, A2DP'",b'No',b'No',b'No',b'Proprietary',b'Accelerometer',"b'Li-Ion 3700 mAh, non-removable'",b'Black/White',b'About 70 EUR',,b'Up to 7 h (multimedia)',,,,b'No',b'No',b'No',b'HDMI port',,,,,,,
b'karbonn',b'Karbonn Smart Tab 7',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-st7.jpg',b'No cellular connectivity',b'N/A',,,b'2012. Released 2012',b'Discontinued',b'-',b'-',,b'No',b'TFT',"b'8.0 inches, 182.2 cm2'","b'480 x 800 pixels, 5:3 ratio (~117 ppi density)'",,"b'Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)'",b'1.2 GHz',b'microSDHC (dedicated slot)',b'1GB 512MB RAM',b'2 MP',,b'Yes',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'No',b'Proprietary',b'Accelerometer',"b'Li-Ion 3700 mAh, non-removable'",b'Black/White',b'About 80 EUR',,b'Up to 7 h (multimedia)',b'Vivante GC860',b'Mali-400',,b'No',b'No',b'No',b'HDMI port',,,,,,,
