Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Dual,Single_1,Charging,Models,Stand-by,Talk time,SAR EU,Music play,GPRS,EDGE,_1
b'lava',b'Lava Z10',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z10-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'143.2 x 71 x 8.4 mm (5.64 x 2.80 x 0.33 in)',b'148 g (5.22 oz)',,"b'Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 16GB 3GB RAM'",b'eMMC 5.0',,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, f/2.0, 1/3.2"", 1.4\xc2\xb5m, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Ion 2620 mAh, non-removable'","b'Gold, Black/White'",b'About 160 EUR',,"b'5 MP, 1/4"", 1.4\xc2\xb5m'",,,,,,,,,
b'lava',b'Lava X28 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lava-x28-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, February'","b'Available. Released 2017, February'",b'155 x 78 x 9 mm (6.10 x 3.07 x 0.35 in)',b'175 g (6.17 oz)',,b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.3 GHz',,b'microSDHC',b'8GB 1GB RAM',,,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2600 mAh, removable'",b'Black/Gold',,,b'5 MP',,,,,,,,,
b'lava',b'Lava A73',b'https://fdn2.gsmarena.com/vv/bigpic/lava-a73n.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, February'","b'Available. Released 2017, February'",b'145.5 x 72.8 x 9.3 mm (5.73 x 2.87 x 0.37 in)',b'-',,b'Dual SIM',b'TN',"b'5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.2 GHz',,b'microSDHC',b'8GB 1GB RAM',,,b'LED flash',b'720p@30fps',b'5 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",b'Dark Gray',,,b'5 MP',,,,,,,,,
b'lava',b'Lava X19',b'https://fdn2.gsmarena.com/vv/bigpic/lava-x19.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2016, December'","b'Available. Released 2016, December'",b'145.5 x 72.6 x 8.9 mm (5.73 x 2.86 x 0.35 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.3 GHz',,b'microSD',b'8GB 2GB RAM',,,"b'LED flash, panorama'",b'Yes',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2200 mAh, removable'","b'White/Gold, Gray'",,,b'5 MP',,,,,,,,,
b'lava',b'Lava A55',b'https://fdn2.gsmarena.com/vv/bigpic/lava-a55.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2016, November'","b'Available. Released 2016, November'",b'123 x 63.4 x 9.7 mm (4.84 x 2.50 x 0.38 in)',b'-',,b'Dual SIM',b'TFT',"b'4.0 inches, 45.5 cm2 (~58.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.2 GHz',,b'microSDHC',b'8GB 1GB RAM',,,"b'LED flash, panorama'",b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1550 mAh, removable'",b'Black + Silver',,,b'VGA',,,b'Up to 388 h',b'Up to 9 h',,,,,
b'lava',b'Lava A50',b'https://fdn2.gsmarena.com/vv/bigpic/lava-a50.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2016, November'","b'Available. Released 2016, November'",b'123 x 63.4 x 9.7 mm (4.84 x 2.50 x 0.38 in)',b'-',,b'Dual SIM',b'TFT',"b'4.0 inches, 45.5 cm2 (~58.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.2 GHz',,b'microSDHC',b'8GB 512MB RAM',,,"b'LED flash, panorama'",b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1550 mAh, removable'",b'Black + Silver',,,b'VGA',,,b'Up to 388 h',b'Up to 9 h',,,,,
b'lava',b'Lava X50 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lavax50-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, November'","b'Available. Released 2016, November'",b'155 x 71.8 x 8.9 mm (6.10 x 2.83 x 0.35 in)',b'158 g (5.57 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~74.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,"b'Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)'",,b'Quad-core',,b'microSDHC',b'32GB 2GB RAM',,,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2800 mAh, removable'",b'Blue',,,b'5 MP',,,,,,,,,
b'lava',b'Lava X41 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lava-x41-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, October'","b'Available. Released 2016, October'",b'145 x 71.2 x 8.8 mm (5.71 x 2.80 x 0.35 in)',b'156 g (5.50 oz)',,"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 6.0 (Marshmallow)',,b'Quad-core 1.3 GHz',,b'microSDHC (dedicated slot)',b'32GB 2GB RAM',,,"b'Panorama, LED flash'",b'1080p@30fps',"b'8 MP, f/2.0, 1/3.2"", 1.4\xc2\xb5m'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2500 mAh, removable'","b'Black, Gold'",,,"b'5 MP, f/2.2'",,,,,,,,,
b'lava',b'Lava A51',b'https://fdn2.gsmarena.com/vv/bigpic/lava-a51.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2016, October'","b'Available. Released 2016, October'",b'136 x 66 x 9.9 mm (5.35 x 2.60 x 0.39 in)',b'-',,b'Dual SIM',b'TFT',"b'4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Spreadtrum SC7731C',b'Quad-core 1.2 GHz',,b'microSDHC',b'8GB 512MB RAM',,,"b'LED flash, panorama'",b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1750 mAh, removable'","b'Gray, Black, Gold'",,,b'VGA',,,b'Up to 420 h (3G)',b'Up to 10 h 30 min (3G)',,,,,
b'lava',b'Lava A76+',b'https://fdn2.gsmarena.com/vv/bigpic/lava-a76-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, October'","b'Available. Released 2016, October'",b'134 x 66 x 9.3 mm (5.28 x 2.60 x 0.37 in)',b'135 g (4.76 oz)',,b'Dual SIM',b'TFT',"b'4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,b'Android 6.0 (Marshmallow)',,b'Quad-core 1.5 GHz',,b'microSDHC',b'8GB 1GB RAM',,,"b'LED flash, HDR, panorama'",b'Yes',b'5 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1850 mAh, non-removable'","b'Black, White'",,,b'5 MP',,,,,,,,,
