Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard
b'acer',b'Acer Stream',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-stream-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, May. Released 2010, August'",b'Discontinued',b'119.5 x 63 x 11.2 mm (4.70 x 2.48 x 0.44 in)',b'140 g (4.94 oz)',b'Mini-SIM',b'HSDPA 900 / 1900 / 2100',b'AMOLED',"b'3.7 inches, 39.0 cm2 (~51.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'",b'Android 2.1 (Eclair)',b'Qualcomm QSD8250 Snapdragon S1',b'1.0 GHz Scorpion',"b'microSDHC (dedicated slot), 8 GB included'",b'2GB 512MB RAM',"b'5 MP, AF'",b'720p@24fps',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA & UPnP technology'","b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1400 mAh battery',b'Up to 5 h (3G)',b'Black',b'About 130 EUR',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',b'Adreno 200',,b'No',,b'Micro HDMI port Dedicated search key MP3/WAV/WMA/eAAC+ player MP4/Xvid/WMV/H.264 player Document viewer  Voice memo Predictive text input',b'Up to 400 h (3G)',,,b'Photo',b'Voice 63dB / Noise 65dB / Ring 75dB',,,,,,,,,,b'HTML',
b'acer',b'Acer Liquid E',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e-new.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, February. Released 2010, August'",b'Discontinued',b'115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Acer UI 3.0',"b'TFT, 256K colors'","b'3.5 inches, 34.9 cm2 (~48.5% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'","b'Android 2.1 (Eclair), upgradable to Android 2.2 (Froyo)'",b'Qualcomm QSD8250 Snapdragon S1',b'768 MHz Scorpion',b'microSDHC (dedicated slot)',"b'512MB RAM, 512MB'","b'5 MP, AF'",b'480p@20fps',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'miniUSB',"b'Accelerometer, proximity'",b'Removable Li-Ion 1350 mAh battery',b'Up to 5 h',"b'Black, White, Red, Ferrari edition'",b'About 90 EUR',b'HSDPA 900 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',b'Adreno 200',,b'No',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Organizer Document viewer  Voice memo Predictive text input',b'Up to 400 h',,,,,,,,,,,,,,"b'HTML, Adobe Flash'",
b'acer',b'Acer neoTouch P400',b'https://fdn2.gsmarena.com/vv/bigpic/acer-neotouch-p400.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, February. Released 2010, May'",b'Discontinued',b'115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in)',b'125 g (4.41 oz)',b'Mini-SIM',b'HSDPA 850 / 900 / 2100',"b'TFT resistive touchscreen, 256K colors'","b'3.2 inches, 30.5 cm2 (~44.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Microsoft Windows Mobile 6.5.3 Professional',b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB ROM'","b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'Stereo FM radio',b'2.0',"b'Accelerometer, compass'",b'Removable Li-Po 1090 mAh battery',b'Up to 5 h',b'Black',b'About 100 EUR',b'HSDPA 900 / 2100',,b'HSPA',b'Adreno 200',,b'No',,b'Acer applications MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo',b'Up to 400 h',,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'",
b'acer',b'Acer beTouch E400',b'https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-e400.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, February. Released 2010, April'",b'Discontinued',b'115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in)',b'125 g (4.41 oz)',b'Mini-SIM',b'HSDPA 850 / 900 / 2100',"b'TFT resistive touchscreen, 256K colors'","b'3.2 inches, 30.5 cm2 (~44.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Android 2.1 (Eclair)',b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB'","b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'Stereo FM radio',b'2.0',"b'Accelerometer, compass'",b'Removable Li-Po 1090 mAh battery',b'Up to 5 h',"b'Soft-touch Black, Ceramic White and Pearl Red with 3 exchangeable battery covers'",b'About 80 EUR',b'HSDPA 900 / 2100',,b'HSPA 3.6/0.384 Mbps',b'Adreno 200',,b'Digital compass Acer UI',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',b'Up to 400 h',,,,,,,,,,,,,,b'HTML',
b'acer',b'Acer neoTouch P300',b'https://fdn2.gsmarena.com/vv/bigpic/acer-p300.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, February. Released 2010, Q2'",b'Discontinued',b'110 x 55 x 15.1 mm (4.33 x 2.17 x 0.59 in)',b'130.6g (4.59 oz)',b'Mini-SIM',b'No',"b'TFT resistive touchscreen, 65K colors'","b'3.2 inches, 29.1 cm2 (~48.2% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",b'Microsoft Windows Mobile 6.5.3',b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB ROM'","b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'2.0',b'Accelerometer',b'Removable Li-Po 970 mAh battery',b'Up to 4 h',b'Black',b'About 80 EUR',b'HSDPA 2100',,b'HSPA 7.2/2 Mbps',b'No',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',,,b'Up to 400 h',,,,,,,,,,,,,,b'HTML',b'QWERTY'
b'acer',b'Acer beTouch E110',b'https://fdn2.gsmarena.com/vv/bigpic/acer-e110.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2010, February. Released 2010, March'",b'Discontinued',b'103.5 x 54 x 13.4 mm (4.07 x 2.13 x 0.53 in)',b'105 g (3.70 oz)',b'Mini-SIM',b'HSDPA 850 / 1900',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.8 inches, 24.3 cm2 (~43.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Android 1.5 (Cupcake)',,b'ST Ericsson PNX6715 416MHz',b'microSD (dedicated slot)',"b'256MB RAM, 256MB'",b'3.15 MP',b'Yes',,,b'Yes',b'Yes',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'Stereo FM radio',b'2.0',b'',b'Removable Li-Ion 1500 mAh battery',,"b'Black, Dark Blue'",b'About 70 EUR',b'HSDPA 900 / 2100',,b'HSPA 3.6/0.384 Mbps',,,b'No',,b'Acer web widgets Acer multimedia menu MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',,,,,,,,,,,,,,,b'HTML',
b'acer',b'Acer Liquid',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-new.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, October. Released 2009, December'",b'Discontinued',b'115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Acer UI 3.0',"b'TFT, 256K colors'","b'3.5 inches, 34.9 cm2 (~48.5% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'",b'Android 1.6 (Donut)',b'Qualcomm QSD8250 Snapdragon S1',b'768 MHz Scorpion',b'microSDHC (dedicated slot)',"b'256MB RAM, 512MB'","b'5 MP, AF'",b'480p@20fps',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'miniUSB',"b'Accelerometer, proximity'",b'Removable Li-Ion 1350 mAh battery',b'Up to 5 h',"b'Black, White, Red'",b'About 90 EUR',b'HSDPA 900 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',b'Adreno 200',,b'No',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Document viewer  Voice memo Predictive text input',b'Up to 400 h',,,b'Photo',b'Voice 72dB / Noise 72dB / Ring 83dB',b'Noise -82.3dB / Crosstalk -80.3dB',,,,,,,,b'1.11 W/kg (head) \xc2\xa0 \xc2\xa0 0.35 W/kg (body)',b'HTML',
b'acer',b'Acer neoTouch',b'https://fdn2.gsmarena.com/vv/bigpic/acer-neo-touch-new.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, October. Released 2009, October'",b'Discontinued',b'118.6 x 63 x 12 mm (4.67 x 2.48 x 0.47 in)',b'130 g (4.59 oz)',b'Mini-SIM',b'Acer UI 3.0',"b'TFT resistive touchscreen, 65K colors'","b'3.8 inches, 41.1 cm2 (~55.0% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~246 ppi density)'",b'Microsoft Windows Mobile 6.5 Professional',b'Qualcomm QSD8250 Snapdragon S1',b'1.0 GHz Scorpion',b'microSDHC (dedicated slot)',"b'256MB RAM, 512MB ROM'","b'5 MP, AF'",b'480p',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'miniUSB',"b'Accelerometer, proximity'",b'Removable Li-Po 1350 mAh battery',b'Up to 5 h',b'Black',b'About 210 EUR',b'HSDPA 900 / 1900 / 2100',,b'HSPA 7.2/5.76 Mbps',b'Adreno 200',b'LED flash',b'',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Facebook and Flikr integration Pocket Office  Voice memo Predictive text input',b'Up to 400 h',,,b'Photo',b'Voice 58dB / Noise 59dB / Ring 69dB',b'Noise -84.1dB / Crosstalk -81.8dB',,,,,,,,b'1.23 W/kg (head) \xc2\xa0 \xc2\xa0 0.72 W/kg (body)',b'HTML',
b'acer',b'Acer beTouch E200',b'https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e200.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, October. Released 2009, October'",b'Discontinued',b'110 x 53.5 x 15.4 mm (4.33 x 2.11 x 0.61 in)',b'146 g (5.15 oz)',b'Mini-SIM',b'',"b'TFT, 65K colors'","b'3.0 inches, 25.6 cm2 (~43.5% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'",b'Microsoft Windows Mobile 6.5 Professional',b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB ROM'",b'3.15 MP',b'Yes',,,b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'miniUSB',b'',b'Removable Li-Ion 1140 mAh battery',b'Up to 5 h',"b'Black, White'",b'About 190 EUR',b'HSDPA 900 / 2100',,b'HSPA 3.6/0.384 Mbps',b'No',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',,,b'Up to 400 h',,,,,,,,,,,,,,b'HTML',
b'acer',b'Acer beTouch E100',b'https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e100.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, October. Released 2009, October'",b'Discontinued',b'113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in)',b'118 g (4.16 oz)',b'Mini-SIM',b'HSDPA 900 / 1900 / 2100',"b'TFT resistive touchscreen, 65K colors'","b'3.2 inches, 29.1 cm2 (~46.1% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",b'Microsoft Windows Mobile 6.5 Professional',b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB ROM'",b'2 MP',b'320p',,,b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'miniUSB',b'',b'Removable Li-Ion 1140 mAh battery',b'Up to 5 h',b'Black',b'About 180 EUR',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/5.76 Mbps',b'No',,b'Acer UI 3.0 Scroll Wheel',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',b'Up to 400 h',,,,,,,,,,,,,b'0.69 W/kg (head) \xc2\xa0 \xc2\xa0 0.80 W/kg (body)',b'HTML',
b'acer',b'Acer beTouch E101',b'https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e101.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'Class 10',"b'2009, October. Released 2009, October'",b'Discontinued',b'113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in)',b'118 g (4.16 oz)',b'Mini-SIM',b'Scroll Wheel',"b'TFT resistive touchscreen, 65K colors'","b'3.2 inches, 29.1 cm2 (~46.1% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",b'Microsoft Windows Mobile 6.5 Professional',b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'microSD (dedicated slot)',"b'256MB RAM, 512MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'miniUSB',b'',b'Removable Li-Ion 1140 mAh battery',b'Up to 5 h',b'Black',b'About 170 EUR',,,,b'No',,b'',,b'MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Pocket Office  Voice memo Predictive text input',b'Up to 400 h',,,,,,,,,,,,,b'0.34 W/kg (head) \xc2\xa0 \xc2\xa0 0.79 W/kg (body)',b'HTML',
b'acer',b'Acer DX650',b'https://fdn2.gsmarena.com/vv/bigpic/acer-dx650.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'Class 10',"b'2009, June. Released 2009, June'",b'Discontinued',b'109.6 x 59 x 15.6 mm (4.31 x 2.32 x 0.61 in)',b'133 g (4.69 oz)',b'Mini-SIM',"b'Secondary 1.27"" OLED display (128 x 96 pixel resolution) Handwriting recognition'","b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'Samsung S3C 6410 533 MHz',b'microSD (dedicated slot)',,b'2 MP',b'No',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'Accelerometer',b'Removable Li-Ion 1260 mAh battery',b'Up to 4 h',b'Black',b'About 150 EUR',,,,,,b'No',,b'Pocket Office  Voice memo MP3 player',b'Up to 150 h',,,,,,,,,,,,,,b'HTML',
b'acer',b'Acer M900',b'https://fdn2.gsmarena.com/vv/bigpic/acer-m900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, February. Released 2009, June'",b'Discontinued',b'119 x 62 x 17.1 mm (4.69 x 2.44 x 0.67 in)',b'188 g (6.63 oz)',b'Mini-SIM',b'Widget-based UI Handwriting recognition',"b'TFT resistive touchscreen, 65K colors'","b'3.8 inches, 41.1 cm2 (~55.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~246 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'533 MHz Samsung S3C 6410',b'microSD (dedicated slot)',,"b'5 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'Fingerprint (front-mounted)',b'Removable Li-Ion 1530 mAh battery',b'Up to 4 h',b'Black',b'About 250 EUR',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',,b'LED flash',b'Pocket Office  Voice memo MP3 player Predictive text input',,,b'Up to 470 h',,,,,,,,,,,,,b'0.43 W/kg (head) \xc2\xa0 \xc2\xa0 0.92 W/kg (body)',b'HTML',b'QWERTY'
b'acer',b'Acer F900',b'https://fdn2.gsmarena.com/vv/bigpic/acer-f900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, February. Released 2009, June'",b'Discontinued',b'117.5 x 63.5 x 15.8 mm (4.63 x 2.5 x 0.62 in)',b'150 g (5.29 oz)',b'Mini-SIM',b'Widget-based UI Handwriting recognition',"b'TFT resistive touchscreen, 65K colors'","b'3.8 inches, 41.1 cm2 (~55.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~246 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'533 MHz Samsung S3C 6410',b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",b'480p',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, SiRF Star III chipset'",,"b'Stereo FM radio, RDS'",b'miniUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1530 mAh battery',b'Up to 4 h',b'Black',b'About 210 EUR',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',,b'LED flash',b'No',,b'MP3/WMA/WAV/AAC+ player MP4/H.264/WMV player Pocket Office  Organizer Voice memo/dial Predictive text input',b'Up to 150 h',,,,,,,,,,,,,b'0.59 W/kg (head) \xc2\xa0 \xc2\xa0 0.82 W/kg (body)',b'HTML',
b'acer',b'Acer X960',b'https://fdn2.gsmarena.com/vv/bigpic/acer-x960.jpg',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, February. Released 2009, April'",b'Discontinued',b'106.4 x 59 x 13.7 mm (4.19 x 2.32 x 0.54 in)',b'131.5 g (4.62 oz)',b'Mini-SIM',b'Widget-based UI Handwriting recognition',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~38.7% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'533 MHz Samsung S3C 6410',b'microSDHC (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP, EDR'","b'Yes, SiRF Star III chipset'",,b'No',b'miniUSB',b'',b'Removable Li-Po 1530 mAh battery',b'Up to 4 h 40 min',b'Black',b'About 270 EUR',b'UMTS 850 / 1900 / 2100',,b'HSPA 7.2/2 Mbps',,b'LED flash',b'MP4/MP3/WMA/WMV player Document viewer Photo viewer Voice memo Predictive text input',,,b'Up to 245 h',,,,,,,,,,,b'1.32 W/kg (head)',,,b'HTML',
b'acer',b'Acer DX900',b'https://fdn2.gsmarena.com/vv/bigpic/acer-dx900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,"b'2009, February. Released 2009, April'",b'Discontinued',b'106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in)',b'147 g (5.19 oz)',b'Dual SIM (Mini-SIM)',b'GSM 900 / 1800 / 1900 - SIM 2',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'533 MHz Samsung S3C 6410',b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, SiRF Star III chipset'",,b'No',b'miniUSB',b'Accelerometer',b'Removable Li-Po 1530 mAh battery',b'Up to10 h',b'Black',b'About 90 EUR',b'HSDPA 850 / 1900 / 2100 - SIM 1',,b'HSPA 7.2/0.384 Mbps',,b'LED flash',b'Widget-based UI Handwriting recognition',,b'Pocket Office  Voice memo MP3 player',b'Up to 150 h',,,,,,,,,,,,,,b'HTML',
