Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'ericsson',b'Ericsson T28s',b'https://fdn2.gsmarena.com/vv/bigpic/ert28sb.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in)',b'83 g (2.93 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 33 pixels, 3 x 12 chars'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Po 500 mAh battery',,b'',,,b'Fixed icons',,b'50 h',b'3 h 30 min',,,b'No',b'Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip',,,b'No',b'No',b'250',b'',b'SMS',"b'2 - Tetris, Solitarie'",b'No',,,,,b'',"b'Vibration; Monophonic ringtones, composer'",b'Yes',b'Yes',,,b'65 h',b'4 h 30 min',,b'37',,,,,
b'ericsson',b'Ericsson T18s',b'https://fdn2.gsmarena.com/vv/bigpic/ert18sb.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in)',b'146 g (5.15 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 33 pixels, 3 x 12 chars'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 750 mAh battery',,b'3',,,b'Fixed icons',,b'100 h',b'4 h',,,b'No',b'Voice dialing Voice answering',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Vibration; Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson T10s',b'https://fdn2.gsmarena.com/vv/bigpic/ert10sb.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 33 pixels, 3 x 12 chars'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 750 mAh battery',,b'5',,,b'Fixed icons',,b'100 h',b'4 h',,,b'No',,,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Vibration; Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson A1018s',b'https://fdn2.gsmarena.com/vv/bigpic/er1018sb.gif',b'GSM',b'GSM 900 / 1800',,,,b'1999',b'Discontinued',b'130 x 49 x 27 mm (5.12 x 1.93 x 1.06 in)',b'163 g (5.75 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 800 mAh battery',,b'',,,b'Fixed icons',,b'80 h',b'265 min',,,b'No',,,,b'No',b'No',b'No',b'',b'SMS',b'No',b'No',,,,,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson I 888',b'https://fdn2.gsmarena.com/vv/bigpic/eri888b.gif',b'GSM',b'GSM 900 / 1900',,,,b'1999',b'Discontinued',b'130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in)',b'195 g (6.88 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 800 mAh battery',,b'',,,b'Fixed icons',,b'80 h',b'265 min',,,b'No',b'Serial port',,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,b'Yes',,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson SH 888',b'https://fdn2.gsmarena.com/vv/bigpic/ersh888b.gif',b'GSM',b'GSM 900 / 1800',,,,b'1998',b'Discontinued',b'130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in)',b'195 g (6.88 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 800 mAh battery',,b'',,,b'Fixed icons',,b'80 h',b'265 min',,,b'No',b'Serial port',,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,b'Yes',,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson S 868',b'https://fdn2.gsmarena.com/vv/bigpic/ers868b.gif',b'GSM',b'GSM 900 / 1800',,,,b'1998',b'Discontinued',b'130 x 49 x 21 mm (5.12 x 1.93 x 0.83 in)',b'172 g (6.07 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 800 mAh battery',,b'',,,b'Fixed icons',,b'80 h',b'265 min',,,b'No',,,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,b'Yes',,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson GF 788e',b'https://fdn2.gsmarena.com/vv/bigpic/erg788eb.gif',b'GSM',b'GSM 900',,,,b'1997',b'Discontinued',b'105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 10 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 550 mAh battery',,b'4',,,b'Fixed icons',,b'60 h',b'180 min',,,b'No',b'Customizable menu',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'19',,,,,
b'ericsson',b'Ericsson GF 788',b'https://fdn2.gsmarena.com/vv/bigpic/ergf788b.gif',b'GSM',b'GSM 900',,,,b'1997',b'Discontinued',b'105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 10 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 550 mAh battery',,b'4',,,b'Fixed icons',,b'60 h',b'180 min',,,b'No',b'Customizable menu',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'19',,,,,
b'ericsson',b'Ericsson PF 768',b'https://fdn2.gsmarena.com/vv/bigpic/erpf768b.gif',b'GSM',b'GSM 1800',,,,b'1997',b'Discontinued',b'105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 10 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 550 mAh battery',,b'4',,,b'Fixed icons',,b'60 h',b'180 min',,,b'No',b'Volume keys',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'19',,,,,
b'ericsson',b'Ericsson GF 768',b'https://fdn2.gsmarena.com/vv/bigpic/ergf768b.gif',b'GSM',b'GSM 900',,,,b'1997',b'Discontinued',b'105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in)',b'135 g (4.76 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 10 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 550 mAh battery',,b'4',,,b'Fixed icons',,b'60 h',b'180 min',,,b'No',b'Volume keys',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',"b'Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'19',,,,,
b'ericsson',b'Ericsson GH 688',b'https://fdn2.gsmarena.com/vv/bigpic/ergh688b.gif',b'GSM',b'GSM 900',,,,b'1996',b'Discontinued',b'130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in)',b'160 g (5.64 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 1200 mAh battery',,b'',,,b'Fixed icons',,b'96 h',b'240 min',,,b'No',b'Scratchpad Calculator',,,b'No',b'No',b'99',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,b'19',,,,,
b'ericsson',b'Ericsson GA 628',b'https://fdn2.gsmarena.com/vv/bigpic/erga628b.gif',b'GSM',b'GSM 900',,,,b'1996',b'Discontinued',b'130 x 49 x 28 mm (5.12 x 1.93 x 1.10 in)',b'160 g (5.64 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 1000 mAh battery',,b'',,,b'Fixed icons',,b'83 h',b'125 min',,,b'No',b'Scratchpad Replaceable front panel',,,b'No',b'No',b'No',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,,,,,,,,
b'ericsson',b'Ericsson GF 388',b'https://fdn2.gsmarena.com/vv/bigpic/ergf388b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in)',b'170 g (6.00 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 915 mAh battery',,b'',,,b'Fixed icons',,b'37 h',b'125 min',,,b'No',b'Calculator',,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson GH 388',b'https://fdn2.gsmarena.com/vv/bigpic/ergh388b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in)',b'170 g (6.00 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 915 mAh battery',,b'',,,b'Fixed icons',,b'37 h',b'125 min',,,b'No',b'Calculator',,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson GS 337',b'https://fdn2.gsmarena.com/vv/bigpic/ergs337b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in)',b'193 g (6.81 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 915 mAh battery',,b'',,,b'Fixed icons',,b'25 h',b'110 min',,,b'No',,,,b'No',b'No',b'No',b'',b'SMS(Receive only)',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson GF 337',b'https://fdn2.gsmarena.com/vv/bigpic/ergf337b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in)',b'193 g (6.81 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 915 mAh battery',,b'',,,b'Fixed icons',,b'25 h',b'110 min',,,b'No',,,,b'No',b'No',b'No',b'',b'SMS(Receive only)',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson GH 337',b'https://fdn2.gsmarena.com/vv/bigpic/ergh337b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in)',b'193 g (6.81 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'3 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 915 mAh battery',,b'',,,b'Fixed icons',,b'25 h',b'110 min',,,b'No',,,,b'No',b'No',b'No',b'',b'SMS(Receive only)',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson GA 318',b'https://fdn2.gsmarena.com/vv/bigpic/erga318b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'130 x 49 x 32 mm (5.12 x 1.93 x 1.26 in)',b'248 g (8.75 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'1 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 1200 mAh battery',,b'3',,,b'Fixed icons',,b'67 h',b'200 min',,,b'No',b'Scratchpad',,,b'No',b'No',b'No',b'',b'SMS(Receive only)',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,,,b'12',,,,,
b'ericsson',b'Ericsson GS 18',b'https://fdn2.gsmarena.com/vv/bigpic/ergs18b.gif',b'GSM',b'GSM 900',,,,b'1996',b'Discontinued',b'147 x 60 x 24 mm (5.79 x 2.36 x 0.94 in)',b'215 g (7.58 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'4 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 1200 mAh battery',,b'',,,b'Fixed icons',,b'36 h',b'180 min',,,b'No',b'Radio link protocol Serial port',,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,,,b'12',,,,,
b'ericsson',b'Ericsson GO 118',b'https://fdn2.gsmarena.com/vv/bigpic/ergo118b.gif',b'GSM',b'GSM 900',,,,b'1995',b'Discontinued',b'145 x 59 x 18 mm (5.71 x 2.32 x 0.71 in)',b'215 g (7.58 oz)',b'Mini-SIM',b'Alphanumeric',b'',b'4 x 12 chars',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH 1200 mAh battery',,b'',,,b'Fixed icons',,b'36 h',b'180 min',,,b'No',,,,b'No',b'No',b'100',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,,,b'12',,,,,
b'ericsson',b'Ericsson GH 218',b'https://fdn2.gsmarena.com/vv/bigpic/ergh218b.gif',b'GSM',b'GSM 900',,,,b'1994',b'Discontinued',b'130 x 49 x 36 mm (5.12 x 1.93 x 1.42 in)',b'',b'Mini-SIM',b'Alphanumeric',b'',b'1 line',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,b'',,,b'Fixed icons',,b'47 h',b'2 h 40 min',,,b'No',,,,b'No',b'No',b'',b'',b'SMS',b'No',b'No',,,,,b'',b'Monophonic ringtones',b'No',b'No',,,,,,,,,,,
