Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'sharp',b'Sharp 903',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-903.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Videocall camera',b'UMTS 2100',b'3D stereo sound',,,"b'Yes, 384 kbps'","b'2005, July'",b'Discontinued',b'109 x 50 x 29 mm (4.29 x 1.97 x 1.14 in)',b'140 g (4.94 oz)',,b'Mini-SIM',b'MP3/AAC/AAC+ player Predictive text input Organizer Voice memo Barcode reading',"b'TFT, 256K colors'","b'2.4 inches, 36 x 48 mm, 17.8 cm2 (~32.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,,,,,"b'miniSD, 64 MB included'",b'8MB',,b'LED flash',b'320p',"b'3.15 MP, 2x optical zoom'",,,"b'Yes, with stereo speakers'",b'No',b'No',b'1.1',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 900 mAh battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 4 h',,,,b'Yes',,"b'500 entries, Photo call'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'sharp',b'Sharp 703',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-703.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Second external mono display 72 x 12 pixels',b'UMTS 2100',b'Videocall camera',,,"b'Yes, 384 kbps'","b'2005, July'",b'Discontinued',b'99 x 47 x 23 mm (3.90 x 1.85 x 0.91 in)',b'107 g (3.77 oz)',,b'Mini-SIM',b'MP3/AAC/AAC+ player Predictive text input Organizer',"b'TFT, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.4 cm2 (~26.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,,b'miniSD',b'8MB',,,b'320p',b'1.3 MP',,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 290 h',b'Up to 4 h',,,,b'Yes',,b'Photo call',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sharp',b'Sharp GX17',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-gx17.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'Predictive text input Organizer Voice memo',,,,"b'2005, Q1'",b'Discontinued',b'106 x 45.5 x 17.4 mm (4.17 x 1.79 x 0.69 in)',b'85 g (3.00 oz)',,b'Mini-SIM',,"b'TFT, 65K colors'","b'1.9 inches, 11.2 cm2 (~23.2% screen-to-body ratio)'","b'120 x 160 pixels, 4:3 ratio (~105 ppi density)'",,,,,,b'No',,,,b'Yes',b'VGA',,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion (XN-1BT30)',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 290 h',b'Up to 3 h 50 min',,,,b'Yes',,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP',,"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
b'sharp',b'Sharp GX40',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-gx40.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'Video player MP3/AAC/AAC+ player Predictive text input Organizer Voice memo',,,,"b'2005, Q2'",b'Discontinued',b'93 x 46 x 22 mm (3.66 x 1.81 x 0.87 in)',b'98 g (3.46 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'",b'',"b'240 x 320 pixels, 2.0 inch, 4:3 ratio'",,,,,,b'miniSD',,,,b'QCIF',b'1.3 MP',,,b'No',b'No',b'No',b'1.1',b'No',,b'FM radio',b'Proprietary',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 290 h',b'Up to 3 h 50 min',,,,b'Yes',,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email, Instant Messaging'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP',,"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,,
b'sharp',b'Sharp 902',b'https://fdn2.gsmarena.com/vv/bigpic/sh902.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Second external display 72 x 12 pixels 180 degree swiveling display',b'UMTS 2100',b'Video streaming and download MP3/MP4 player Predictive text input Organizer Photo editor Voice dial/memo',,,"b'Yes, 384 kbps'","b'2004, Q3'",b'Discontinued',b'102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in)',b'149 g (5.26 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'","b'2.4 inches, 36 x 48 mm, 17.8 cm2 (~35.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,,,,,"b'SD/MMC, up to 1 GB, 32 MB included'",b'26MB',,b'LED flash',b'Yes',"b'2 MP, 2x optical zoom'",,b'',b'Yes',b'No',b'No',b'1.1',b'No',,b'No',b'miniUSB',b'',b'Removable Li-Ion 870 mAh battery (XN-1BT90)',,"b'Mirror White, Titanium Gray, Warm Orange'",,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,,,,,b'Up to 140 h',b'Up to 3 h',,,,b'Yes',,b'Photo call',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sharp',b'Sharp 802',b'https://fdn2.gsmarena.com/vv/bigpic/sh802.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'180 deg swivel',b'UMTS 2100',b'Video streaming and download Predictive text input MP3/MP4 player Organizer Photo editor',,,"b'Yes, 384 kbps'","b'2004, Q3'",b'Discontinued',b'102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in)',b'149 g (5.26 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'","b'2.4 inches, 36 x 48 mm, 17.8 cm2 (~35.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,,,,,"b'SD/MMC, 32 MB included'",b'8MB',,b'LED flash',b'Yes',b'1.3 MP',,b'',"b'Yes, with stereo speakers'",b'No',b'No',b'1.1',b'No',,b'No',b'miniUSB',b'',b'Removable Li-Ion 870 mAh battery (XN-1BT90)',,b'Silver',,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,,,,,,,,,,b'Yes',,b'Photo call',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sharp',b'Sharp TM200',b'https://fdn2.gsmarena.com/vv/bigpic/shtm200.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external TFT display (64 x 96 pixels), 65K colors'",,b'No',,,,"b'2004, Q4'",b'Discontinued',b'96 x 49 x 27 mm (3.78 x 1.93 x 1.06 in)',b'120 g (4.23 oz)',,b'Mini-SIM',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo',"b'TFT, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~31.9% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~182 ppi density)'",,,,,,b'SD',b'9MB',,b'LED flash',b'Yes',"b'2 MP, AF'",,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'',b'',b'Removable Li-Ion 840 mAh battery',,b'',,,,b'About 460 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 220 h',b'Up to 3 h 20 min',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sharp',b'Sharp GX25/GZ200',b'https://fdn2.gsmarena.com/vv/bigpic/shgx25.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Static and animated(GIF) wallpapers',,b'2.1 MB memory for gallery 0.8 MB memory for MMS 200 short messages',,,,"b'2004, Q3'",b'Discontinued',b'92 x 46 x 23.5 mm (3.62 x 1.81 x 0.93 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Organizer Voice memo',"b'TFT, 256K colors'",b'',"b'320 x 240 pixels, 4:3 ratio'",,,,,,b'No',,,b'LED flash',b'Yes',b'VGA',,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'',b'',b'Removable Li-Ion 780 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 3 h 30 min',,,,b'Yes',,"b'500 x 8 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP',,"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
b'sharp',b'Sharp TM150',b'https://fdn2.gsmarena.com/vv/bigpic/shtm150.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external 65K colors display 64 x 96 pixels',,b'No',,,,"b'2004, Q3'",b'Discontinued',b'93 x 43 x 25 mm (3.66 x 1.69 x 0.98 in)',b'113 g (3.99 oz)',,b'Mini-SIM',b'Predictive text input Organizer Voice memo',"b'TFT, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~37.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,,b'SD/MMC',b'6MB',,,b'Yes',b'1 MP',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 780 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 200 h',b'Up to 3 h 20 min',,,,,,"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Downloadable',"b'Yes, MIDP 1.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, SMAF, MIDI, i-melody, AMR ringtones'",,,
b'sharp',b'Sharp TM100',b'https://fdn2.gsmarena.com/vv/bigpic/shtm100.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'',,b'No',,,,"b'2004, Q1'",b'Discontinued',b'100 x 49 x 19 mm (3.94 x 1.93 x 0.75 in)',b'95 g (3.35 oz)',,b'Mini-SIM',b'Predictive text input Photo editor Organizer Voice memo (60 sec.)',"b'CGS, 256K colors'",b'',"b'240 x 320 pixels, 4:3 ratio'",,,,,,b'No',,,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 780 mAh battery',,b'',,,,b'About 330 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 200 h',b'Up to 3 h',,,,b'Yes',,"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS 5.0, MMS, Email'",b'Yes',"b'Yes, MIDP 1.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
