Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser,Alert types,Languages
b'icemobile',b'Icemobile Shine',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-shine.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Organizer Photo/video editor Document viewer  MP4/H.264 player MP3/AAC+ player Predictive text input',b'HSDPA 850 / 2100',,,b'HSPA 7.2/0.384 Mbps',"b'2011, June. Released 2011, July'",b'Discontinued',b'112 x 58 x 13.5 mm (4.41 x 2.28 x 0.53 in)',b'126 g (4.44 oz)',b'Mini-SIM',"b'TFT,  65K colors'","b'3.2 inches, 30.5 cm2 (~46.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Android 2.2 (Froyo)',,,,b'microSDHC (dedicated slot)',b'512MB 256MB RAM',,,,b'Yes',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'Optional',b'FM radio',b'microUSB 2.0',"b'Accelerometer, compass'",b'Removable Li-Ion battery',,"b'White, Black, Red'",,,,,b'2 MP',,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Crystal',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-crystal.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, February. Released 2011, Q2'",b'Discontinued',b'111.5 x 56.2 x 13.1 mm (4.39 x 2.21 x 0.52 in)',b'-',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT,  65K colors'","b'3.5 inches, 34.9 cm2 (~55.6% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~133 ppi density)'",b'Android 2.2 (Froyo)',b'Mediatek MT6516',b'416 MHz',,b'microSD (dedicated slot)',b'512MB 256MB',b'Trackball Flashlight',,b'LED flash',b'Yes',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11',b'Yes',"b'Yes, with A-GPS'",,b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1050 mAh battery',,"b'Black, White'",,,,,b'1.3 MP',,,,b'TV app Organizer MP4/H.264 player MP3/AAC+ player Predictive text input',,,,,,,,,b'Yes',b'No',,,,,,,b'Yes',,,,,,,,,,,,,,,b'Up to 180 h',,b'Up to 5 h',,,,"b'WAP 2.0/xHTML, HTML'",,
b'icemobile',b'Icemobile Comet II',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-cometII.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, June'",b'Discontinued',b'111.5 x 60 x 12.8 mm (4.39 x 2.36 x 0.50 in)',b'90 g (3.17 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'2.2 inches, 15.2 cm2 (~22.8% screen-to-body ratio)'",b'220 x 176 pixels (~128 ppi density)',,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'',,,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',,b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Removable Li-Ion 1050 mAh battery',,"b'Black, Pink, Brown'",,,,,b'VGA',,,,b'TV app Organizer MP4 player MP3 player Predictive text input',,,,,,,,,b'Yes',b'No',"b'500 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'Yes',,,,,,,,,,,,,,,,,b'Up to 200 h',,b'Up to 4 h 10 min',,,b'QWERTY',b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Viento II',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-viento-II.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, June'",b'Discontinued',b'100 x 55 x 13.5 mm (3.94 x 2.17 x 0.53 in)',b'-',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~22.9% screen-to-body ratio)'",b'220 x 176 pixels (~141 ppi density)',,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'',,,,b'Yes',b'Yes',b'No',b'2.0',b'No',,b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Removable Li-Ion 800 mAh battery',,"b'Purple, Black, Red'",,,,,b'VGA',,,,b'TV app Organizer MP4 player MP3 player Predictive text input',,,,,,,,,b'Class 10',b'No',"b'300 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'Yes',,,,,,,,,,,,,,,,,b'Up to 580 h',,b'Up to 8 h',,,b'QWERTY',b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Rock',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, June. Released 2011, July'",b'Discontinued',b'109.7 x 46.6 x 15 mm (4.32 x 1.83 x 0.59 in)',b'-',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~19.3% screen-to-body ratio)'",b'128 x 160 pixels (~116 ppi density)',,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'',,,,b'Yes',b'No',b'No',b'No',b'No',,b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Removable Li-Ion 800 mAh battery',,"b'Purple, Blue, Black, Red, Yellow'",,,,,b'Yes',,,,b'MP3/MP4 player Organizer Predictive text input',,,,,,,,,b'Class 10',b'No',"b'300 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 580 h',,b'Up to 8 h',,,,b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Tropical',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical-1.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, May'",b'Discontinued',b'108.5 x 57 x 13.5 mm (4.27 x 2.24 x 0.53 in)',b'81 g (2.86 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~16.5% screen-to-body ratio)'",b'160 x 128 pixels (~114 ppi density)',,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'Yes',,,,b'Yes',b'Yes',b'No',b'Yes',b'No',,b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Removable Li-Ion 800 mAh battery',,"b'Black/Red, White/Black, Pink/Black'",,,,,b'VGA',,,,b'Organizer MP3 player Predictive text input',,,,,,,,,b'Class 10',b'No',"b'500 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 600 h',,b'Up to 3 h',,,b'QWERTY',b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Tropical II',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical-ii-new.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, May'",b'Discontinued',b'99 x 55.5 x 12.9 mm (3.90 x 2.19 x 0.51 in)',b'-',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)'",b'160 x 128 pixels (~114 ppi density)',,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'',,,,b'Yes',b'Yes',b'No',b'Yes',b'No',,b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Removable Li-Ion 800 mAh battery',,"b'Purple, Black, Red'",,,,,b'VGA',,,,b'Organizer MP3 player Predictive text input',,,,,,,,,b'Class 10',b'No',"b'300 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 580 h',,b'Up to 8 h',,,b'QWERTY',b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Rainbow II',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-rainbow2.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2011, April. Released 2011, April'",b'Discontinued',b'109 x 47 x 14.1 mm (4.29 x 1.85 x 0.56 in)',b'78 g (2.75 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.8 inches, 10.0 cm2 (~19.6% screen-to-body ratio)'","b'120 x 160 pixels, 4:3 ratio (~111 ppi density)'",,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'Yes',,,,b'Yes',b'No',b'No',b'Yes',b'No',,b'Stereo FM radio',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Black, Blue, Red, Purple, Yellow'",,,,,b'0.3 MP',,,,b'MP3 player Organizer Voice memo',,,,,,,,,b'Yes',b'No',"b'300 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 360 h',,b'Up to 10 h',,,,b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Rainbow',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-rainbow.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,b'2011. Released 2011',b'Discontinued',b'109.7 x 57 x 15 mm (4.32 x 2.24 x 0.59 in)',b'80 g (2.82 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.8 inches, 10.0 cm2 (~16.0% screen-to-body ratio)'","b'120 x 160 pixels, 4:3 ratio (~111 ppi density)'",,,,,b'microSD (dedicated slot)',,b'Flashlight',,,b'No',,,,b'Yes',b'No',b'No',b'Yes',b'No',,b'FM radio',b'No',b'',b'Removable Li-Ion 580 mAh battery',,"b'Black, Blue, Red, Pink, White'",,,,,b'0.3 MP',,,,b'MP3/MP4 player Organizer Voice memo',,,,,,,,,b'Yes',b'No',"b'500 contacts, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 580 h',,b'Up to 8 h',,,,b'WAP 2.0/xHTML',,
b'icemobile',b'Icemobile Twilight',b'https://fdn2.gsmarena.com/vv/bigpic/icemobile-twilight.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',,,,,"b'2010, December. Released 2010, October'",b'Discontinued',b'88 x 59 x 14 mm (3.46 x 2.32 x 0.55 in)',b'103 g (3.63 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.0 cm2 (~19.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~222 ppi density)'",,,,,b'microSDHC (dedicated slot)',,b'Organizer Analog TV MP3 Player Predictive Text Input',,,b'Yes',,,b'',b'No',b'No',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',,b'FM radio',b'No',b'',b'Removable Li-Ion 650 mAh battery',,"b'Black, White, Red'",,,,,b'0.3 MP',,,,,,,,,,,,,b'Yes',b'No',b'200 entries',b'Yes',"b'SMS, MMS'",b'Yes + downloadable',b'Yes',,b'Yes',,,,,,,,,,,,,,,b'Up to 45 h',,b'Up to 6 h',,,b'QWERTY',,,
