Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,_1_1,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Stand-by,Music play,Colors,Models,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,256GB 6GB RAM,512GB 6GB RAM,Dual_1,64GB 4GB RAM,128GB 4GB RAM,256GB 4GB RAM,Single,Single_1,Talk time,SAR,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,Triple,Audio quality,512GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,GPRS,EDGE,32GB 3GB RAM,32GB 2GB RAM,128GB 2GB RAM,Browser,Alert types
b'archos',b'Archos 50b Helium 4G',b'https://fdn2.gsmarena.com/vv/bigpic/archos-50b-helium.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 7, 20'",,,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2014, October. Released 2014, December'",b'Discontinued',b'145 x 71.5 x 9 mm (5.71 x 2.81 x 0.35 in)',b'160 g (5.64 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.4.4 (KitKat)',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',b'Quad-core 1.2 GHz Cortex-A53',b'Adreno 306',b'microSDXC',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 2000 mAh, removable'",,,,b'Black',,b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.71 W/kg (body)',b'About 150 EUR',,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 50 Diamond',b'https://fdn2.gsmarena.com/vv/bigpic/archos-50-diamond.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 4.5',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 7, 20'",,,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2014, October. Released 2015, January'",b'Discontinued',b'146 x 70.4 x 8 mm (5.75 x 2.77 x 0.31 in)',b'142 g (5.01 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 69.2 cm2 (~67.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~440 ppi density)'",,b'Android 4.4.4 (KitKat)',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',b'microSDXC',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 2700 mAh, non-removable'",,,,"b'Black, Electric yellow'",,b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.71 W/kg (body)',b'About 200 EUR',,,b'Photo / Video',,b'Endurance rating 60h',,,,,,,,"b'16 MP, AF'",b'8 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 40 Cesium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-40-cesium.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, September. Released 2014, September'",b'Discontinued',b'-',b'',,b'Dual SIM (dual stand-by)',b'TFT',"b'4.0 inches, 45.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Microsoft Windows Phone 8.1',b'Qualcomm Snapdragon 200 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 302',b'microSDHC',b'4GB 512MB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',"b'FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1700 mAh, removable'",,,,b'Black; Yellow and Blue (included)',,,b'About 80 EUR',,,,,,,,,,,,,"b'5 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 45c Platinum',b'https://fdn2.gsmarena.com/vv/bigpic/archos-45c-platinum.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, August. Released 2014, September'",b'Discontinued',b'133 x 67.5 x 8.9 mm (5.24 x 2.66 x 0.35 in)',b'138 g (4.87 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'4GB 512MB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1700 mAh, removable'",,,,b'Black; Metallic Blue and Spicy Pink (included)',,,,,,,,,,,,,,,,"b'5 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 40c Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-40c-titanium.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100 - SIM 1 & SIM 2',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, February. Released 2014, April'",b'Discontinued',b'126 x 65 x 10 mm (4.96 x 2.56 x 0.39 in)',b'110 g (3.88 oz)',,b'Dual SIM (dual stand-by)',b'LCD',"b'4.0 inches, 45.5 cm2 (~55.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4 (KitKat)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC',b'4GB 512MB RAM',,b'LED flash',b'720p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 1450 mAh, removable'",,,,b'Black/White',,,,,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',,b'1.00 W/kg (head) \xc2\xa0 \xc2\xa0 0.87 W/kg (body)',,,,,,,,,,,,,,,
b'archos',b'Archos 50b Platinum',b'https://fdn2.gsmarena.com/vv/bigpic/archos-50b-platinum.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, August. Released 2014, September'",b'Discontinued',b'146.8 x 73 x 8.3 mm (5.78 x 2.87 x 0.33 in)',b'160 g (5.64 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'4GB 512MB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1900 mAh, removable'",,,,b'Black',,,,,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 80 Helium 4G',b'https://fdn2.gsmarena.com/vv/bigpic/archos-80-helium-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 4.5',b'HSDPA 900 / 2100',,"b'1, 3, 7, 20'",,,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, February. Released 2014, April'",b'Discontinued',b'-',b'-',,b'Mini-SIM',b'IPS LCD',"b'8.0 inches, 198.2 cm2'","b'768 x 1024 pixels, 4:3 ratio (~160 ppi density)'",,b'Android 4.3 (Jelly Bean)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 3500 mAh, removable'",,,,b'White/Silver',,,b'About 280 EUR',,,,,,,,,,,,,"b'5 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 64 Xenon',b'https://fdn2.gsmarena.com/vv/bigpic/archos-64-xenon.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, February. Released 2014, April'",b'Discontinued',b'170.7 x 90.6 x 9.3 mm (6.72 x 3.57 x 0.37 in)',b'232 g (8.18 oz)',,b'Dual SIM',b'IPS LCD',"b'6.4 inches, 112.9 cm2 (~73.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~229 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'4GB 1GB RAM',,b'LED flash',b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2800 mAh, removable'",,,,b'Black',,,b'About 240 EUR',,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 50c Oxygen',b'https://fdn2.gsmarena.com/vv/bigpic/archos-50c-oxygen.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, February. Released 2014, April'",b'Discontinued',b'145 x 69.8 x 7.6 mm (5.71 x 2.75 x 0.30 in)',b'140 g (4.94 oz)',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6592 (28 nm)',b'Octa-core 1.7 GHz Cortex-A7',b'Mali-450MP4',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",,,,b'Black',,,b'About 240 EUR',,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 40b Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-40b-titanium.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',"b'2014, February. Released 2014, April'",b'Discontinued',b'125 x 61 x 8.5 mm (4.92 x 2.40 x 0.33 in)',b'115 g (4.06 oz)',,b'Dual SIM',b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~59.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',,,,b'microSDHC',b'4GB 512MB RAM',,b'LED flash',b'Yes',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1400 mAh, removable'",,,,b'Black/White',,,b'About 120 EUR',,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',,b'1.00 W/kg (head) \xc2\xa0 \xc2\xa0 0.87 W/kg (body)',,,,,,,,,,,,,,,
b'archos',b'Archos 50 Helium 4G',b'https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-50.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 4.5',b'HSDPA 900 / 2100  / 1800',,"b'1, 3, 7, 8'",,,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'2014. Released 2014',b'Discontinued',b'145 x 71.5 x 9 mm (5.71 x 2.81 x 0.35 in)',b'160 g (5.64 oz)',,b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.3 (Jelly Bean)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",,,,b'Black',,b'0.37 W/kg (head) \xc2\xa0 \xc2\xa0 0.89 W/kg (body)',b'About 280 EUR',,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',b'Up to 10 h (2G) / Up to 8 h (3G)',,,,,,,,,,,,,,,,
b'archos',b'Archos 45 Helium 4G',b'https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-45.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 4.5',b'HSDPA 900 / 2100  / 1800',,"b'1, 3, 7, 8'",,,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'2014. Released 2014',b'Discontinued',b'135 x 67 x 9.8 mm (5.31 x 2.64 x 0.39 in)',b'140 g (4.94 oz)',,b'Micro-SIM',b'IPS LCD',"b'4.5 inches, 57.6 cm2 (~63.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~207 ppi density)'",,b'Android 4.3 (Jelly Bean)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,b'LED flash',b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1850 mAh, removable'",,,,b'Black',,,b'About 230 EUR',,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',b'Up to 9 h (2G) / Up to 7 h (3G)',,,,,,,,,,,,,,,,
b'archos',b'Archos 50 Oxygen',b'https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-50.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,,,b'HSPA 42.2/11.5 Mbps',b'2013. Released 2013',b'Discontinued',b'143 x 70.5 x 9.9 mm (5.63 x 2.78 x 0.39 in)',b'130 g (4.59 oz)',,b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6589T (28 nm)',b'Quad-core 1.5 GHz Cortex-A7',b'PowerVR SGX544MP2',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',,b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',"b'microUSB 2.0 (MHL TV-out), USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2300 mAh, removable'",,,,b'Black',,b'0.22 W/kg (head) \xc2\xa0 \xc2\xa0 0.56 W/kg (body)',,,,,,,,,,,,,,"b'13.4 MP, AF'",b'5.3 MP',,,,,,,,,,,,,,,,,
b'archos',b'Archos 53 Platinum',b'https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-53.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 7.2/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'153.6 x 78 x 9.3 mm (6.05 x 3.07 x 0.37 in)',b'189.9 g (6.67 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'5.3 inches, 77.4 cm2 (~64.6% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~208 ppi density)'",,b'Android 4.1.2 (Jelly Bean)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,"b'LED flash, HDR'",b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2800 mAh, removable'",,b'Up to 264 h',,b'Black',,b'0.33 W/kg (head) \xc2\xa0 \xc2\xa0 0.75 W/kg (body)',,,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',b'Up to 21 h (2G) / Up to 15 h (3G)',,,,,,,,,,,,,,,,
b'archos',b'Archos 50 Platinum',b'https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-50.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 7.2/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'143.4 x 72.4 x 8.9 mm (5.65 x 2.85 x 0.35 in)',b'160.2 g (5.64 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'Android 4.1.2 (Jelly Bean)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,"b'LED flash, HDR'",b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,b'Up to 161 h',,b'Black',,b'0.33 W/kg (head) \xc2\xa0 \xc2\xa0 0.51 W/kg (body)',,,,,,,,,,,,,,"b'8 MP, AF'",b'2 MP',b'Up to 12 h 20 min (2G) / Up to 10 h (3G)',,,,,,,,,,,,,,,,
b'archos',b'Archos 45 Platinum',b'https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-45.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 7.2/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'142.5 x 71.8 x 9.2 mm (5.61 x 2.83 x 0.36 in)',b'150 g (5.29 oz)',,b'Dual SIM (Mini-SIM)',b'TFT',"b'4.5 inches, 55.8 cm2 (~54.6% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.1.2 (Jelly Bean)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,"b'LED flash, HDR'",b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1600 mAh, removable'",,b'Up to 135 h',,b'Black',,b'0.39 W/kg (head) \xc2\xa0 \xc2\xa0 1.28 W/kg (body)',,,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',b'Up to 8 h 20 min (2G) / Up to 10 h (3G)',,,,,,,,,,,,,,,,
b'archos',b'Archos 53 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-53.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'152.7 x 76.6 x 10.1 mm (6.01 x 3.02 x 0.40 in)',b'200 g (7.05 oz)',,b'Dual SIM (Mini-SIM)',b'TFT',"b'5.3 inches, 77.4 cm2 (~66.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~185 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,b'LED flash',b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2500 mAh, removable'",,,,b'Black',,b'0.38 W/kg (head) \xc2\xa0 \xc2\xa0 0.55 W/kg (body)',,,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',,,,,,,,,,,,,,,,,
b'archos',b'Archos 50 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-50.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'144.5 x 73.7 x 9.9 mm (5.69 x 2.90 x 0.39 in)',b'160 g (5.64 oz)',,b'Dual SIM (Mini-SIM & Micro-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.7% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,b'LED flash',b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2100 mAh, removable'",,,,b'Black',,b'0.35 W/kg (head) \xc2\xa0 \xc2\xa0 0.70 W/kg (body)',,,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',,,,,,,,,,,,,,,,,
b'archos',b'Archos 45 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-45.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,,,b'HSPA 21.1/5.76 Mbps',b'2013. Released 2013',b'Discontinued',b'133.8 x 68.2 x 10 mm (5.27 x 2.69 x 0.39 in)',b'152 g (5.36 oz)',,b'Dual SIM (Mini-SIM)',b'TFT',"b'4.5 inches, 55.8 cm2 (~61.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,b'LED flash',b'720p',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1680 mAh, removable'",,,,b'Black',,b'1.16 W/kg (head) \xc2\xa0 \xc2\xa0 0.77 W/kg (body)',,,,,,,,,,,,,,"b'5 MP, AF'",b'VGA',,,,,,,,,,,,,,,,,
