Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Dual,Single_1,Charging,Models,Stand-by,Talk time,SAR EU,Music play,GPRS,EDGE,_1,Infrared port,_1_1,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Dual_1,5G bands,512GB 16GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,SAR,Quad,128GB 6GB RAM,Phonebook,Call records,Messaging,Games,Java,Keyboard
b'lenovo',b'Lenovo Tab3 8 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab3-8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in)',b'329 g (11.61 oz)',,b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~70.7% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~283 ppi density)'",,b'Android 6.0.1 (Marshmallow)',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',b'microSDXC (dedicated slot)',b'16GB 3GB RAM',b'eMMC 5.1',,"b'HDR, panorama'",b'1080p@30fps',"b'8 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 4250 mAh, non-removable'","b'Black, White'",b'About 170 EUR',,b'5 MP',,,,,,,,,b'MP3/WAV/WMA/AAC player MP4/H.264 player Document viewer Photo viewer/editor',,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo ZUK Edge',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-zuk-edge-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/50 Mbps'","b'2016, December'","b'Available. Released 2017, January'",b'142.9 x 74.5 x 7.7 mm (5.63 x 2.93 x 0.30 in)',b'160 g (5.64 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TDDI',"b'5.5 inches, 83.4 cm2 (~78.3% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Corning Gorilla Glass (unspecified version)',"b'Android 7.0 (Nougat), ZUI 2.5'",b'Qualcomm MSM8996 Snapdragon 821 (14 nm)',b'Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo)',b'Adreno 530',b'No',"b'64GB 4GB RAM, 64GB 6GB RAM'",b'24-bit/192kHz audio',,"b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'13 MP, f/2.2, 1.34\xc2\xb5m, PDAF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',b'USB Type-C 3.1',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, heart rate, altimeter'","b'Li-Ion 3100 mAh, non-removable'","b'Ceramic White, Titanium Black'",b'About 450 EUR',,"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'Fast charging 18W Quick Charge 3.0',b'ZUK Z2151',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo A6600 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6600.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5 - India'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, October'",b'141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in)',b'142 g (5.01 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',"b'1, 3, 7 - Asia-Pacific'",,b'LED flash',b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2300 mAh, removable'","b'Black, White'",b'About 130 EUR',,b'2 MP',,"b'A6600d40, A6600a40'",b'Up to 400 h (3G)',b'Up to 6 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo A6600',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6600.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5 - India'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, October'",b'141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in)',b'142 g (5.01 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',"b'1, 3, 7 - Asia-Pacific'",,b'LED flash',b'Yes',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2300 mAh, removable'","b'Black, White'",b'About 110 EUR',,b'2 MP',,,b'Up to 400 h (3G)',b'Up to 6 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo B',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-b.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, October'","b'Available. Released 2016, October'",b'132.5 x 66 x 9.9 mm (5.22 x 2.60 x 0.39 in)',b'144 g (5.08 oz)',,"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",b'TFT',"b'4.5 inches, 57.6 cm2 (~65.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~207 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC',b'8GB 1GB RAM',,,b'LED flash',b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'","b'Black, White, Gold'",b'About 80 EUR',,b'2 MP',,"b'A2016a40, A2016b30'",b'Up to 170 h (3G)',b'Up to 11 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo A Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-a-plus-A1010.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2016, September'","b'Available. Released 2016, September'",b'133 x 66 x 9.9 mm (5.24 x 2.60 x 0.39 in)',b'146 g (5.15 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.6% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,b'Android 5.1 (Lollipop)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,b'LED flash',b'Yes',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 2000 mAh, removable'","b'Onyx Black, Pearl White'",b'About 70 EUR',,b'2 MP',,b'A1010a20',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo P2',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-p2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2016, September'","b'Available. Released 2016, November'",b'153 x 76 x 8.3 mm (6.02 x 2.99 x 0.33 in)',b'177 g (6.24 oz)',"b'Glass front (Gorilla Glass 3), aluminum back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)'",b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM'",b'eMMC 5.1',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'13 MP, f/2.0, 21mm (ultrawide), 1/3.1"", 1.12\xc2\xb5m, PDAF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio; recording',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 5100 mAh, non-removable'","b'Champagne gold, Graphite gray'",b'About 240 EUR',,"b'5 MP, f/2.2'",b'Fast charging 18W',b'P2a42',b'Up to 768 h (3G)',b'Up to 79 h (3G)',,,,,,,,b'GFXBench: 3.7fps (ES 3.1 onscreen)',"b'Contrast ratio: Infinite (nominal), 3.316 (sunlight)'",b'Photo / Video',b'Voice 67dB / Noise 72dB / Ring 86dB',b'Noise -92.6dB / Crosstalk -92.4dB',b'Endurance rating 149h',,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K6 Note',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-note.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, December'",b'151 x 76 x 8.4 mm (5.94 x 2.99 x 0.33 in)',b'169 g (5.96 oz)',"b'Glass front, aluminum/plastic back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 32GB 4GB RAM'",b'HSDPA 850 / 1700(AWS) / 1900 / 2100 - LATAM',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, PDAF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Silver, Gold, Dark Grey'",b'About 250 EUR',,b'8 MP',,b'K53a48',b'Up to 600 h (2G) / Up to 600 h (3G)',b'Up to 46 h (2G) / Up to 31 h (3G)',,,,,"b'1, 2, 3, 4, 5, 7, 8, 28 - LATAM'",,b'eMMC 5.1',b'GFXBench: 2.4fps (ES 3.1 onscreen)',"b'Contrast ratio: 65125 (nominal), 2.544 (sunlight)'",b'Photo / Video',b'Voice 63dB / Noise 69dB / Ring 71dB',b'Noise-92.7dB / Crosstalk -86.8dB',b'Endurance rating 91h',,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K6 Power',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-power.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, November'",b'141.9 x 70.3 x 9.3 mm (5.59 x 2.77 x 0.37 in)',b'145 g (5.11 oz)',"b'Glass front, aluminum back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,"b'Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)'",b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'",b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, PDAF'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Silver, Gold, Dark Grey'",b'About 170 EUR',,b'8 MP',,b'K33a42',b'Up to 649 h (3G)',b'Up to 50 h (2G) / Up to 33 h (3G)',,,,,,,,b'GFXBench: 2.4fps (ES 3.1 onscreen)',,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K6',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, November'",b'141.9 x 70.3 x 8.2 mm (5.59 x 2.77 x 0.32 in)',b'140 g (4.94 oz)',,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'",b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'","b'Silver, Gold, Dark Grey'",b'About 200 EUR',,b'8 MP',,"b'K33a48, K33b36'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Yoga Tab 3 10',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tablet-3-10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EMEA',"b'1, 3, 4, 5, 7, 8, 19, 20, 38, 40 - EMEA'","b'HSPA 42.2/5.76 Mbps, LTE'",b'2016',b'Available. Released 2016',b'253 x 185 x 9.5 mm (9.96 x 7.28 x 0.37 in)',b'655 g (Wi-Fi)/ 665 g (3G/LTE) (1.40 lb)',,b'Micro-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~63.2% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'Built-in 3-stage kickstand Splash and dust resistant',,,b'720p@30fps',"b'8 MP, AF'",,b'720p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 8400 mAh, non-removable'",b'Black',b'About 180 EUR',,b'Rotating main camera module',,b'YT3-X50M',,,,,,,b'eMMC 4.5',,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Yoga Tab 3 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab3-plusr.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100 - EMEA',"b'1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41 - EMEA'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, September'","b'Available. Released 2016, December'",b'247 x 179 mm',b'637 g (Wi-Fi)/ 644 g (3G/LTE) (1.40 lb)',,b'Micro-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~66.9% screen-to-body ratio)'","b'1600 x 2560 pixels, 16:10 ratio (~299 ppi density)'",,"b'Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)'",b'Qualcomm MSM8953 Snapdragon 625 (14 nm) - 3G/LTE modelQualcomm MSM8976 Snapdragon 652 (28 nm) - Wi-Fi model',b'Octa-core 2.0 GHz Cortex-A53 - 3G/LTE modelOcta-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - Wi-Fi model',b'Adreno 506 - 3G/LTE modelAdreno 510 - Wi-Fi model',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - ROW',,"b'HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",,b'',"b'Yes, with stereo speakers (4 speakers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'USB Type-C 2.0',"b'Accelerometer, compass'","b'Li-Ion 9300 mAh, non-removable'",b'Black',b'About 300 EUR',,b'5 MP',b'Fast charging 18W',,,b'Up to 18 h (3G)',,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 21, 25, 26, 28, 30, 41 - ROW'",,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Vibe A',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-a.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2016, July'","b'Available. Released 2016, July'",b'124.5 x 64 x 10.6 mm (4.90 x 2.52 x 0.42 in)',b'132 g (4.66 oz)',,"b'Dual SIM (Mini-SIM, dual stand-by)'",b'TFT',"b'4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 5.1 (Lollipop)',b'Spreadtrum SC7731G',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,,b'LED flash',b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 1700 mAh, removable'","b'Onyx Black, Pearl White'",b'About 50 EUR',,b'VGA',,b'A1000m',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo C2 Power',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-c2-power.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, September'","b'Available. Released 2016, November'",b'9.6 mm thickness',b'155.6 g (5.50 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,,b'LED flash',b'Yes',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3500 mAh, removable'","b'Black, White'",b'About 170 EUR',,b'5 MP',,,b'Up to 408 h (3G)',b'Up to 35 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo C2',b'https://fdn2.gsmarena.com/vv/bigpic/Lenovo-Vibe-C2r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, July'","b'Available. Released 2016, July'",b'143 x 71.4 x 8.6 mm (5.63 x 2.81 x 0.34 in)',b'139 g (4.90 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC (dedicated slot)',"b'8GB 1GB RAM, 16GB 1GB RAM'",,,b'LED flash',b'720p@30fps',"b'8 MP, 1/4.0"", AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2750 mAh, removable'","b'Black, White'",b'About 200 EUR',,b'5 MP',,b'K10a40',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Phab2 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-phab2-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - EMEA',"b'1, 2, 3, 5, 7, 8, 20, 38, 40, 41 - \xd0\x95\xd0\x9c\xd0\x95\xd0\x90'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, June'","b'Available. Released 2016, June'",b'173.9 x 88.3 x 9.6 mm (6.85 x 3.48 x 0.38 in)',b'218 g (7.69 oz)',,"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.4 inches, 112.9 cm2 (~73.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~344 ppi density)'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT8783',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-T720MP3',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.0, PDAF, Laser AF 2 MP, (depth)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4050 mAh, non-removable'","b'Gunmetal Grey, Champagne Gold'",b'About 250 EUR',,"b'8 MP, f/2.2, 1/3.2"", 1.4\xc2\xb5m'",,"b'PB2-670M, PB2-670N'",,,,,,,"b'2, 4, 5, 7, 12, 13, 17 - USA'",,,,,,,,,,,,,,,,,,,,,,,
