Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,Languages,Infrared port
b'bird',b'Bird S296',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s296.gif',b'GSM',b'GSM 900 / 1800',b'No',b'No',b'2007',b'Discontinued',b'105 x 45 x 15.7 mm (4.13 x 1.77 x 0.62 in)',b'75 g (2.65 oz)',b'Mini-SIM',b'Monochrome graphic',"b'1.4 inches, 5.7 cm2 (~12.1% screen-to-body ratio)'",b'101x 64 pixels (~85 ppi density)',b'No',b'No',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",,,"b'EFR, FR, HR voice codecs Languages: Chinese, English, French, Arabic, Vietnamese'",b'No',"b'Vibration; Downloadable polyphonic, MIDI ringtones'",b'No',b'No',b'No',b'No',b'No',b'No',b'',b'SMS',b'No',b'Yes',b'No',,b'Removable Li-Ion 500 mAh battery',b'Up to 140 h',b'Up to 2 h',"b'Black, Grey'",,,
b'bird',b'Bird D680',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d680.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',"b'2006, Q1'",b'Cancelled',b'88 x 42 x 21 mm (3.46 x 1.65 x 0.83 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',"b'Second external CSTN display, 65K colors, (96x64 pixels) Wallpapers, screensavers'",b'No',"b'300 x 5 fields, Photo call'","b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'Yes',b'2 MB for MMS messages 200 SMS messages',b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'2 embedded + download',b'No',b'MP3/MIDI player Calculator World time Predictive text input  Currency convertor Voice memo',b'Removable Li-Ion battery',,,b'',,,
b'bird',b'Bird D660',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d660.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2006, Q1'",b'Cancelled',b'107 x 45 x 16.5 mm (4.21 x 1.77 x 0.65 in)',b'',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',b'Wallpapers',b'microSD',"b'300 x 5 fields, Photo call'","b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'Yes',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',b'No',b'MP3/MIDI player Calculator World time  Predictive text input Voice memo',b'Removable Li-Ion battery',,,b'Silver',b'64MB',,b'Yes'
b'bird',b'Bird M11',b'https://fdn2.gsmarena.com/vv/bigpic/bird-m11.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',"b'2006, Q1'",b'Cancelled',b'108 x 44 x 15.2 mm (4.25 x 1.73 x 0.60 in)',b'88 g (3.10 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'Wallpapers',b'No',b'100 entries',"b'20 dialed, 20 received, 20 missed calls'",,,b'No',b'No',b'Vibration; Polyphonic(16) ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS'",b'WAP 2.0',b'Yes',b'No',b'MP3/MIDI player Calculator World time  Predictive text input',b'Removable Li-Ion battery',,,b'',b'32MB',,
b'bird',b'Bird M08',b'https://fdn2.gsmarena.com/vv/bigpic/bird-m08.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2005, Q3'",b'Cancelled',b'87.8 x 43.3 x 21.3 mm (3.46 x 1.70 x 0.84 in)',b'78 g (2.75 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',"b'Second external CSTN display, 65K colors, (96x64 pixels) 7 colors flashing LED Wallpapers, screensavers'",b'microSD',"b'300 entries, Photo call'","b'20 dialed, 20 received, 20 missed calls'",b'VGA',b'Yes',b'No',b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',b'No',b'MP3 player Organizer World time Voice memo',b'Removable Li-Ion battery',b'Up to 200 h',b'Up to 2 h 50 min',b'',b'32MB',,
b'bird',b'Bird S890',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s890.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2005, Q3'",b'Cancelled',b'',b'',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',"b'Wallpapers, screensavers'",b'No',b'300 entries',"b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'No',b'No',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML',b'2',b'Yes',b'Organizer World time Voice memo',b'Removable Li-Ion battery',b'Up to 72 h',b'Up to 3 h',b'',,,b'Yes'
b'bird',b'Bird S798',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s798.gif',b'GSM',b'GSM 900 / 1800',b'',b'No',"b'2005, Q3'",b'Cancelled',b'83.5 x 45.5 x 21.5 mm (3.29 x 1.79 x 0.85 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'GSM 850 / 1900 - US version',b'No',b'200 entries',"b'20 dialed, 20 received, 20 missed calls'",,,"b'Wallpapers, screensavers'",b'Yes',b'Vibration; Polyphonic(16) ringtones',b'No',b'No',b'No',b'No',b'FM radio',b'',b'',b'SMS',b'WAP 2.0/xHTML',b'2',b'No',b'MP3/MP4 player Predictive text input Photo editor Organizer',b'Removable Li-Ion battery',b'Up to 100 h',b'Up to 3 h',b'',,,
b'bird',b'Bird S698',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s698.gif',b'GSM',b'GSM 900 / 1800',b'',b'No',"b'2005, Q3'",b'Cancelled',b'104.3 x 15.7 x 44 mm (4.11 x 0.62 x 1.73 in)',b'73 g (2.57 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'","b'Wallpapers, screensavers'",b'No',b'100 entries',"b'20 dialed, 20 received, 20 missed calls'",,,b'No',b'No',b'Vibration; Polyphonic(16) ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',b'2',b'No',b'Organizer',b'Removable Li-Ion battery',b'Up to 75 h',b'Up to 3 h',b'',,,
b'bird',b'Bird S198',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s198.gif',b'GSM',b'GSM 900 / 1800',b'',b'No',"b'2005, Q3'",b'Cancelled',b'104.3 x 42.6 x 15 mm (4.11 x 1.68 x 0.59 in)',b'73 g (2.57 oz)',b'Mini-SIM',"b'CSTN, Mono'",b'',"b'112 x 64 pixels, 16:9 ratio'",b'GSM 850 / 1900 - US version',b'No',b'250 entries',"b'20 dialed, 20 received, 20 missed calls'",,,b'No',b'No',b'Vibration; Monophonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',b'Yes',b'No',b'Organizer',b'Removable Li-Ion battery',b'Up to 72 h',b'Up to 3 h',"b'4 - Black, White, Green, Red'",,,
b'bird',b'Bird S299',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s299.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',"b'2005, Q2'",b'Discontinued',b'104 x 44 x 14 mm (4.09 x 1.73 x 0.55 in)',b'70 g (2.47 oz)',b'Mini-SIM',"b'CSTN, Mono'",b'',b'112 x 80 pixels',b'GSM 850 / 1900 - US version',b'No',b'200 entries',"b'20 dialed, 20 received, 20 missed calls'",,,b'No',b'No',b'Vibration; Polyphonic(16) ringtones',b'No',b'No',b'No',b'No',b'FM radio',b'',b'',b'SMS',b'WAP',b'Yes',b'No',b'MP3 player Changeable front and back covers iTap Voice memo Organizer',b'Removable Li-Ion battery',b'Up to 200 h',b'Up to 3 h',b'Black',,,
