Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time,Keyboard,Browser,Alert types
b'hp',b'HP iPAQ 910c',b'https://fdn2.gsmarena.com/vv/bigpic/hp-910c.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 7.2/0.384 Mbps',"b'2007, September. Released 2008, July'",b'Discontinued',b'113 x 64 x 16 mm (4.45 x 2.52 x 0.63 in)',b'146 g (5.15 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.46 inches, 18.7 cm2 (~25.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~163 ppi density)'",b'No',b'Microsoft Windows Mobile 6.1 Professional',,b'Marvell PXA270 416 MHz',,b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'",b'Pocket Office  Media player Predictive text input Voice memo',,,b'QCIF',,,,b'Yes',b'No',b'Wi-Fi 802.11b/g',b'2.0',"b'Yes, with A-GPS'",,,b'No',b'2.0',b'',b'Removable Li-Ion 1840 mAh battery',,b'Black',,,b'About 210 EUR',,"b'3.15 MP, AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ 610c',b'https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq600.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 7.2/0.384 Mbps',"b'2007, September'",b'Discontinued',b'117 x 60.3 x 17.5 mm (4.61 x 2.37 x 0.69 in)',b'145 g (5.11 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~34.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Smart Touch navigation wheel 3-way thumb wheel',b'Microsoft Windows Mobile 6 Professional',,b'Marvell PXA270 520 MHz',,b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'",b'No',,b'LED flash',b'QCIF',,,,b'Yes',b'No',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",,,b'No',b'2.0',b'',b'Removable Li-Po 1590 mAh battery',,b'Black',b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo',,b'About 170 EUR',,"b'3.15 MP, AF'",,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 4 h',,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ 514',b'https://fdn2.gsmarena.com/vv/bigpic/hp-514.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,,"b'2007, February'",b'Discontinued',b'107 x 48.6 x 16.3 mm (4.21 x 1.91 x 0.64 in)',b'102 g (3.60 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~24.2% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'No',b'Microsoft Windows Mobile 6.0 Standard',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo',,,b'Yes',,,,b'Yes',b'No',b'Wi-Fi 802.11b/g',b'1.2',b'No',,,b'No',b'miniUSB',b'',b'Removable Li-Ion 1100 mAh battery',,b'Black',,,b'About 90 EUR',,b'1.3 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,b'Up to 188 h',b'Up to 6 h 30 min',,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ rw6815',b'https://fdn2.gsmarena.com/vv/bigpic/hp-rw6815.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, October'",b'Discontinued',b'102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~148 ppi density)'",b'Handwriting recognition',b'Microsoft Windows Mobile 5.0 PocketPC',,b'Intel PXA272 416 MHz',,b'miniSD',"b'64MB RAM, 128MB ROM'",b'No',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'Wi-Fi 802.11b',b'1.2',b'No',,b'Yes',b'No',b'miniUSB',b'',b'Removable Li-Ion 1530 mAh battery',,b'Silver',b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo',,b'About 150 EUR',,b'2 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 5 h 30 min',,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ rw6828',b'https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, Q2'",b'Discontinued',b'102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~148 ppi density)'",b'Handwriting recognition',b'Microsoft Windows Mobile 5.0 PocketPC',,b'Intel PXA 272 416 MHz',,b'miniSD',"b'64MB RAM, 128MB ROM'",b'No',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'Wi-Fi 802.11b',b'1.2',b'No',,b'Yes',b'FM radio',b'miniUSB',b'',b'Removable Li-Po 1530 mAh battery',,b'Silver',b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo',,b'About 290 EUR',,b'2 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 5 h 30 min',,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ rw6818',b'https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, Q2'",b'Discontinued',b'102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~148 ppi density)'",b'Handwriting recognition',b'Microsoft Windows Mobile 5.0 PocketPC',,b'Intel PXA 272 416 MHz',,b'miniSD',"b'64MB RAM, 128MB ROM'",b'No',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'No',b'1.2',b'No',,b'Yes',b'FM radio',b'miniUSB',b'',b'Removable Li-Po 1530 mAh battery',,b'Silver',b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo',,b'About 290 EUR',,b'2 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 5 h 30 min',,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'"
b'hp',b'HP iPAQ hw6915',b'https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,,"b'2006, February'",b'Discontinued',b'118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in)',b'179 g (6.31 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'",b'',"b'240 x 240 pixels, 3 inch, 1:1 ratio'",b'No',b'Microsoft Windows Mobile 2005 PocketPC',,b'Intel PXA 270 416 MHz',,b'miniSD',"b'64MB RAM, 45MB ROM'",b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo',,b'LED flash',b'Yes',,,,b'Yes',b'No',b'Wi-Fi 802.11b',b'1.2',b'Yes',,b'Yes',b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Silver',,,b'About 550 EUR',,b'1.3 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',b'Vibration; Polyphonic ringtones'
b'hp',b'HP iPAQ hw6910',b'https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,,"b'2006, February'",b'Discontinued',b'118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in)',b'179 g (6.31 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'",b'',"b'240 x 240 pixels, 3 inch, 1:1 ratio'",b'No',b'Microsoft Windows Mobile 2005 PocketPC',,b'Intel PXA 270 416 MHz',,b'miniSD',"b'64MB RAM, 45MB ROM'",b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo',,,,,,,b'Yes',b'No',b'Wi-Fi 802.11b',b'1.2',b'Yes',,b'Yes',b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Silver',,,b'About 470 EUR',,,,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',b'Vibration; Polyphonic ringtones'
b'hp',b'HP iPAQ hw6515',b'https://fdn2.gsmarena.com/vv/bigpic/hp-hw6515.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,,"b'2005, Q2'",b'Discontinued',b'118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in)',b'165 g (5.82 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.0 inches, 45 x 60 mm, 29.0 cm2 (~34.7% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~113 ppi density)'",b'No',b'Microsoft Windows Mobile 2003 SE PocketPC Phone Edition',,b'Intel PXA270 312 MHz',,b'SDIO/MMC + miniSD',"b'64MB RAM, 64MB ROM'",b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer',,b'LED flash',b'Yes',,,,b'Yes',b'No',b'No',b'1.2',b'Yes',,b'Yes',b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Silver',,,b'About 280 EUR',,b'1.3 MP',,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',b'Vibration; Polyphonic ringtones'
b'hp',b'HP iPAQ hw6510',b'https://fdn2.gsmarena.com/vv/bigpic/hp-hw6510.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,,"b'2005, Q2'",b'Discontinued',b'118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in)',b'165 g (5.82 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.0 inches, 45 x 60 mm, 29.0 cm2 (~34.7% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~113 ppi density)'",b'No',b'Microsoft Windows Mobile 2003 SE PocketPC Phone Edition',,b'Intel PXA270 312 MHz',,b'SDIO/MMC + miniSD',"b'64MB RAM, 64MB ROM'",b'Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer',,,,,,,b'Yes',b'No',b'No',b'1.2',b'Yes',,b'Yes',b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Silver',,,b'About 280 EUR',,,,,,,,b'Class 10',b'Class 10',,,,,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',b'Vibration; Polyphonic ringtones'
