Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Triple,Single,128GB 6GB RAM,Build,Models,128GB 4GB RAM,32GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Single_1,256GB 8GB RAM,SAR,Protection,256GB 12GB RAM,256GB 6GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Stand-by_1,Talk time_1,Alert types,Languages,Clock,Alarm
b'motorola',b'Motorola V191',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-v191.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Second external B/W display 96 x 32 pixels   Screensavers and wallpapers Downloadable logos',,b'No',,,,"b'2006, February'",b'Discontinued',"b'91.5 x 44.5 x 23.8 mm, 79 cc (3.60 x 1.75 x 0.94 in)'",b'98 g (3.46 oz)',b'Mini-SIM',b'MP3 player Predictive text input (iTAP) Organizer',"b'CSTN, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',b'10MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Silver, Blue'",b'About 60 EUR',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 7 h',b'Up to 500 h',b'Yes',b'No',,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + Java downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'motorola',b'Motorola ROKR E2',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-rokr_e2.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'',,,,"b'2006, January'",b'Discontinued',"b'106 x 49.5 x 18 mm, 80.5 cc (4.17 x 1.95 x 0.71 in)'",b'107 g (3.77 oz)',b'Mini-SIM',b'MP4/MP3 player  iTAP Voice memo Voice dial Organizer Changeable covers',"b'TFT, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.4 cm2 (~23.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Linux',,b'32-bit Intel XScale PXA270 312 MHz',,"b'SD, up to 2 GB'",b'10MB',,b'LED flash',b'Yes',,,,b'Yes',b'Yes',b'No',"b'2.0, A2DP'",b'No',,b'FM radio',b'miniUSB 2.0',b'',b'Removable Li-Ion 850 mAh battery',,"b'Silver, Black'",b'About 130 EUR',,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 4 h 30 min',b'Up to 200 h',b'Class 10',b'Class 6',,,,,,,,"b'WAP 2.0/xHTML, HTML (Opera 8)'",,,"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer'",,,
b'motorola',b'Motorola RAZR V3i',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-v3i.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',"b'Second CSTN display (96 x 80 pixels), 65K colors Anodized aluminum case Downloadable logos'",,b'No',,,,"b'2005, November'",b'Discontinued',"b'98 x 53 x 13.9 mm, 65 cc (3.86 x 2.09 x 0.55 in)'",b'100 g (3.53 oz)',b'Mini-SIM',b'Apple iTunes compatible MP3/MP4 player Predictive text input Organizer Speaker independent voice dial Voice dial/memo',"b'TFT, 256K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~29.3% screen-to-body ratio)'","b'176 x 220 pixels, 9 lines (~128 ppi density)'",,,,,b'microSD',b'10MB',,,b'Yes',,,,b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'miniUSB',b'',b'Removable Li-Ion 710 mAh battery',,b'Silver Quartz',b'About 100 EUR',,b'1.23 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h 30 min',b'Up to 200 h',b'Class 10',b'No',,"b'1000 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS, Email,  Instant Messaging'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,
b'motorola',b'Motorola ROKR E1',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-rokr_e1.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',,b'No',,,,"b'2005, September'",b'Discontinued',"b'108 x 46 x 20.5 mm, 89 cc (4.25 x 1.81 x 0.81 in)'",b'107 g (3.77 oz)',b'Mini-SIM',b'Apple iTunes compatible MP4/MP3 player  iTAP Voice dial Organizer',"b'TFT, 256K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~22.9% screen-to-body ratio)'","b'176 x 220 pixels, 8 lines (~148 ppi density)'",,,,,b'microSD (dedicated slot)',b'11MB',,,b'QCIF',,,,"b'Yes, with stereo speakers (22 Khz with vibration)'",b'No',b'No',b'1.2',b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 830 mAh battery',,b'Pearl Star White',b'About 100 EUR',,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'4 h 20 min - 9 h 20',b'Up to 230 h',b'Class 10',b'No',,"b'1000 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes+ downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,,
b'motorola',b'Motorola A910',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-a910.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external display TFT, 256K colors (128 x 108 pixels) 4-way navi key Downloadable logos'",,b'No',,,,"b'2005, July'",b'Discontinued',"b'93 x 51 x 23 mm, 88 cc (3.66 x 2.01 x 0.91 in)'",b'127 g (4.48 oz)',b'Mini-SIM',b'MP3 player MP4 player Speaker independent voice recognition',"b'TFT, 256K colors'",b'',"b'240 x 320 pixels, 4:3 ratio'","b'Linux, JUIX UI'",,b'Intel XScale',,b'microSD (dedicated slot)',b'10MB',,b'LED flash',b'Yes',,,,b'Yes',b'No',"b'Wi-Fi 802.11b/g, UMA technology'","b'2.0, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1000 mAh battery',,b'',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 4 h',b'Up to 250 h',b'Class 10',b'No',,,,,,,,b'WAP 2.0/xHTML',,,b'Vibration; Polyphonic ringtones',,,
b'motorola',b'Motorola A1200',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-a1200.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Handwriting and speech recognition (Chi & Eng)',,b'8 MB user memory 3.5 MB phonebook memory',,,,"b'2005, December'",b'Discontinued',b'95.7 x 51.7 x 21.5 mm (3.77 x 2.04 x 0.85 in)',b'122 g (4.30 oz)',b'Mini-SIM',"b'MP3/MP4/AAC+ player Organizer Document viewer (Word, Excel, PowerPoint, PDF) Photo editor Voice dial/memo'","b'TFT resistive touchscreen, 256K colors'","b'2.4 inches, 36 x 48 mm, 17.8 cm2 (~36.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'Linux',,b'Intel XScale 312MHz',,b'microSD (dedicated slot)',,,,b'QCIF',,,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',,b'Stereo FM radio',b'miniUSB',b'',b'Removable Li-Ion 850 mAh battery (BT50)',,"b'Black, Red, Silver'",b'About 160 EUR',,b'2 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 4 h',b'Up to 200 h',b'Class 10',b'No',,,,,,,,"b'WAP 2.0/xHTML, HTML (Opera)'",,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'motorola',b'Motorola A728',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-a728.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Handwriting and speech recognition (Chi & Eng)',,b'No',,,,"b'2005, July'",b'Discontinued',b'101 x 53 x 21 mm (3.98 x 2.09 x 0.83 in)',b'120 g (4.23 oz)',b'Mini-SIM',b'MP3 player Organizer Voice dial/memo',"b'TFT resistive touchscreen, 65K colors'",b'',"b'240 x 320 pixels, 4:3 ratio'",b'Linux',,,,b'No',b'8MB',,,b'Yes',,,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Mr. black',,,b'CIF',,,,,,,,,,,,,,,,,,,,,b'Yes',,,,b'Class 8',b'No',,,,,,,,"b'WAP 2.0/xHTML, HTML'",,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'motorola',b'Motorola A732',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-a732.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Fingerwriting recognition Downloadable screensavers, wallpapers'",,b'No',,,,"b'2005, July'",b'Discontinued',"b'88 x 43 x 21.8 mm, 72 cc (3.46 x 1.69 x 0.86 in)'",b'95 g (3.35 oz)',b'Mini-SIM',b'Text to Speech functionality MP3/MP4 player Organizer Predictive text input',"b'TFT, 65K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~26.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSD (dedicated slot)',,,,b'Yes',,,,b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Silver, Black'",,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 6 h',b'Up to 270 h',b'Class 10',b'No',,"b'1000 entries, Photo call'",b'Yes',"b'SMS, EMS, MMS'",b'Yes  + Downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'motorola',b'Motorola E895',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-e895.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external display TFT, 256K colors (128 x 108 pixels) 4-way navi key Downloadable logos'",,b'No',,,,"b'2005, June'",b'Discontinued',"b'93 x 51 x 23 mm, 88 cc (3.66 x 2.01 x 0.91 in)'",b'127 g (4.48 oz)',b'Mini-SIM',b'MP3 player MP4 player',"b'TFT, 256K colors'","b'2.2 inches, 35 x 45 mm, 15.0 cm2 (~31.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'","b'Linux, JUIX UI'",,b'Intel XScale',,b'microSD (dedicated slot)',b'10MB',,b'LED flash',b'Yes',,,,b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1000 mAh battery',,b'',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 4 h',b'Up to 250 h',b'Class 10',b'No',,,,,,,,"b'WAP 2.0/xHTML, HTML'",,,b'Vibration; Polyphonic ringtones',,,
b'motorola',b'Motorola V3x',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-v3x.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',"b'Second external 65K colors display, STN (96 x 80 pixels) Downloadable wallpapers, screensavers'",b'UMTS 2100',b'MP3/AAC/MP4 player Predictive text input Organizer SyncML Voice dial',,,"b'Yes, 384 kbps'","b'2005, Q1'",b'Discontinued',"b'99 x 55 x 20 mm, 89 cc (3.90 x 2.17 x 0.79 in)'",b'125 g (4.41 oz)',b'Mini-SIM',,"b'TFT, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~27.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSD (dedicated slot)',b'64MB',,b'LED flash',b'Yes',,,b'',b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 840 mAh battery (BC60)',,b'',b'About 130 EUR',,b'2 MP',,,,,,,,,,,,,b'VGA videocall camera',,,,,,,,,,b'Up to 5 h',b'Up to 250 h',,,,"b'1000 x 20 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email, Instant Messaging'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,
