Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser,Alert types,Languages,Stand-by_1,Talk time_1
b'inq',b'iNQ Cloud Touch',b'https://fdn2.gsmarena.com/vv/bigpic/inq-cloud-touch.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 900 / 1900 / 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2011, February. Released 2011, April'",b'Discontinued',b'114 x 62 x 13 mm (4.49 x 2.44 x 0.51 in)',b'122 g (4.30 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~51.6% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 2.2 (Froyo)',b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'Adreno 200',"b'microSDHC (dedicated slot), 4 GB included'",b'512MB',b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input',,,b'Yes',,,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1300 mAh battery',,"b'Black, White, Red'",,b'About 380 EUR',,,"b'5 MP, AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 245 h (3G)',,b'Up to 6 h 30 min (3G)',,,,b'WAP2.0 / xHTML',,,,
b'inq',b'iNQ Cloud Q',b'https://fdn2.gsmarena.com/vv/bigpic/inq-cloud-q.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 900 / 1900 / 2100',,,b'HSPA',"b'2011, February'",b'Cancelled',b'-',b'-',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.6 inches, 19.2 cm2'","b'400 x 240 pixels, 5:3 ratio (~179 ppi density)'",b'Android 2.2 (Froyo)',b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'Adreno 200',"b'microSDHC (dedicated slot), 4 GB included'",b'4MB',b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input',,,b'Yes',,,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1300 mAh battery',,"b'Black, White, Red'",,,,,"b'5 MP, AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',,b'Up to 4 h',,,b'QWERTY',b'WAP2.0 / xHTML',,,,
b'inq',b'iNQ Chat 3G',b'https://fdn2.gsmarena.com/vv/bigpic/inq-chat-3g.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'Home screen widgets',b'HSDPA 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2009, October. Released 2009, December'",b'Discontinued',b'114.5 x 61 x 12.8 mm (4.51 x 2.40 x 0.50 in)',b'122 g (4.30 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b', -'","b'320 x 240 pixels, 4:3 ratio'",,,,,b'microSDHC (dedicated slot)',b'100MB',b'No',,,b'Yes',,,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'Yes',,b'No',b'miniUSB 2.0',b'',b'Removable Li-Ion 1150 mAh battery',,"b'Black, Red'",,b'About 110 EUR',,,"b'3.15 MP, AF'",,,,"b'Facebook, Windows Live, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.263/H.264 player Organizer Voice memo Predictive text input'",,,,,,,,,,,"b'1000 entries, Photocall'","b'30 received, dialed and missed calls'","b'SMS, MMS, Email, IM, Push GMail'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'-',,b'-',,,b'QWERTY',b'WAP2.0 / xHTML',,,,
b'inq',b'iNQ Mini 3G',b'https://fdn2.gsmarena.com/vv/bigpic/inq-mini-3g.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2009, September. Released 2009, September'",b'Discontinued',b'102.9 x 45.8 x 12.8 mm (4.05 x 1.80 x 0.50 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~31.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'50MB',"b'Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input'",,,b'Yes',,,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',,b'No',b'miniUSB 2.0',b'',b'Removable Li-Ion 1150 mAh battery',,"b'Black, Red'",,,,,b'2 MP',,,,,,,,,,,,,,,"b'1000 entries, Photocall'","b'30 received, dialed and missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'Up to 260 h',,b'Up to 3 h 30 min',,,,b'WAP2.0 / xHTML',,,,
b'inq',b'iNQ iNQ1',b'https://fdn2.gsmarena.com/vv/bigpic/inq1.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2009, February. Released 2009, May'",b'Discontinued',b'97 x 47.6 x 14.4 mm (3.82 x 1.87 x 0.57 in)',b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~32.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'50MB',"b'Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input'",,,b'Yes',,,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',,b'No',b'miniUSB 2.0',b'',b'Removable Li-Ion 1150 mAh battery',,b'Gray',,,,,b'3.15 MP',,,,,,,,,,,,,,,"b'1000 entries, Photocall'","b'30 received, dialed and missed calls'","b'SMS, MMS, Email, IM'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'Up to 330 h',,b'Up to 5 h 20 min',,,,b'WAP2.0 / xHTML',,,,
