Brand,Model Name,Model Image,Technology,2G bands,3G bands,,4G bands,_1,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,128GB 4GB RAM,_1_1,Build,Single_1,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,Phonebook,Call records,Messaging,Games,Java,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,GPRS,EDGE,Stand-by,Talk time,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Keyboard,Browser,Infrared port,Alert types,Languages,Clock,Alarm
b'nvidia',b'Nvidia Shield K1',b'https://fdn2.gsmarena.com/vv/bigpic/nvidia-shield-tablet-k1.jpg',b'No cellular connectivity',b'N/A',,b'Stylus',,b'Dual bass reflex port',,"b'2015, November. Released 2015, November'",b'Discontinued',b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'356 g (12.56 oz)',b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 5.0 (Lollipop), upgradable to 7.0 (Nougat)'",b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,b'HDR',b'Yes',"b'5 MP, AF'",b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Ion 5200 mAh, non-removable (19.75 Wh)'",,b'Black',,b'About 200 EUR',,,b'HDMI port',,b'5 MP',b'HDR',,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nvidia',b'Nvidia Shield LTE',b'https://fdn2.gsmarena.com/vv/bigpic/nvidia-shield.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - all versions',b'HSDPA 850 / 1700 / 1900 / 2100 - North America',b'HSDPA 850 / 900 / 1900 / 2100',"b'2, 4, 5, 7, 17 - North America'","b'1, 3, 7, 20'","b'HSPA, LTE'","b'2014, July. Released 2014, September'",b'Discontinued',b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'390 g (13.76 oz)',b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 4.4.2 (KitKat), upgradable to 4.4.4 (KitKat)'",b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,b'HDR',b'Yes',"b'5 MP, AF'",b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Ion 5400 mAh, non-removable (19.75 Wh)'",,b'Black',,b'About 300 EUR',,,b'HDMI port',,b'5 MP',b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nvidia',b'Nvidia Shield',b'https://fdn2.gsmarena.com/vv/bigpic/nvidia-shield.jpg',b'No cellular connectivity',b'N/A',,b'Stylus',,b'Dual bass reflex port',,"b'2014, July. Released 2014, July'",b'Discontinued',b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'390 g (13.76 oz)',b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 4.4.2 (KitKat), upgradable to 7.0 (Nougat)'",b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,b'HDR',b'Yes',"b'5 MP, AF'",b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Ion 5400 mAh, non-removable (19.75 Wh)'",,b'Black',,b'About 230 EUR',,,b'HDMI port',,b'5 MP',b'HDR',,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,
