Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Triple_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,_1_1,Single,SAR,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,Dual,Dual_1,Stand-by,Talk time,Audio quality,64GB 6GB RAM,Single_1,512GB 8GB RAM,Music play,Infrared port,GPRS,EDGE,SAR EU,Browser,Alert types,Keyboard,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1
b'at&t',b'AT&T Quickfire',b'https://fdn2.gsmarena.com/vv/bigpic/quickfire.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2008, November. Released 2008, November'",b'Discontinued',b'109 x 56 x 18 mm (4.29 x 2.20 x 0.71 in)',b'136 g (4.80 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~39.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",,,,,,b'microSD (dedicated slot)',b'29MB',b'No',,,b'Yes',,,,b'Yes',b'No',b'MP3/eAAC+/WMA player MP4/H.263 player Organizer Voice memo/dial/commands Predictive text input',b'No',"b'1.2, A2DP'","b'Yes, with A-GPS'",,b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,"b'Gray, Green, Orange'",,,,,,,,,,,,b'1.3 MP',b'1.10 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body)',,,,,,b'Up to 288 h',b'Up to 3 h',,,,,,,,,,b'WAP 2.0/xHTML',,b'QWERTY',"b'Yes, Photocall'",b'Yes',"b'SMS, MMS, Email, IM'",b'Yes',"b'Yes, MIDP 2.0'",,
b'at&t',b'AT&T SMT5700',b'https://fdn2.gsmarena.com/vv/bigpic/att-5700.jpg',b'GSM',b'GSM 850 / 1800 / 1900',,,,,"b'2007, November'",b'Discontinued',b'112 x 60 x 14 mm (4.41 x 2.36 x 0.55 in)',b'',,b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'320 x 240 pixels, 4:3 ratio'",,b'Microsoft Windows Mobile 5.0 PocketPC',b'TI OMAP V1030',b'260 MHz',,b'microSD (dedicated slot)',,b'No',,,b'Yes',,,,b'Yes',b'No',b'Pocket Office  MP3/MP4 player Voice dial Predictive text input',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Gray',,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,b'Class 10',b'Class 10',,b'WAP 2.0/xHTML',,b'QWERTY',,,,,,,
b'at&t',b'AT&T Mustang',b'https://fdn2.gsmarena.com/vv/bigpic/att-mustang.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900',,,b'HSPA 1.8 Mbps',"b'2007, October. Released 2007, October'",b'Discontinued',b'102 x 50 x 19.9 mm (4.02 x 1.97 x 0.78 in)',b'110 g (3.88 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,b'Windows Mobile 6 Standard',,b'Marvell Bulverde 416 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'Dual slide design',,,b'Yes',,,,b'Yes',b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'1.1',b'',b'Removable Li-Po 1320 mAh battery',,b'Black',,,,,,,,,,,b'Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager',b'1.3 MP',,,,,,,b'Up to 240 h',b'Up to 3 h',,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",,b'QWERTY',,,,,,,
b'at&t',b'AT&T 8525',b'https://fdn2.gsmarena.com/vv/bigpic/att-8525.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 1.8 Mbps',"b'2006, June'",b'Discontinued',b'113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in)',b'176 g (6.21 oz)',,b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",,b'Microsoft Windows Mobile 6 Professional',,b'400 MHz Samsung',,b'microSDHC (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'Handwriting recognition',,b'LED flash',b'Yes',,,,b'Yes',b'No',b'No',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'No',,b'No',b'1.1',b'',b'Removable Li-Po 1350 mAh battery',,"b'Silver, Black'",,,,,,,,,,,b'Pocket Office  Voice memo MP3/AAC player',b'2 MP',,,,,,,b'Up to 250 h',b'Up to 5 h',,,,,,b'Yes',,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",,b'QWERTY',,,,,,,
