Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features,4G bands,Protection,OS,Chipset,CPU,GPU,Dual,NFC,Models,SAR EU,Features_1,Charging,SAR,Keyboard,Music play
b'vodafone',b'Vodafone V860 Smart II',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2012, June. Released 2012, June'",b'Discontinued',b'109 x 58 x 12.3 mm (4.29 x 2.28 x 0.48 in)',b'120 g (4.23 oz)',b'Mini-SIM',b'TFT',"b'3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'No',"b'microSDHC (dedicated slot), 2 GB included'",,,b'1GB 512MB RAM',b'3.15 MP',b'480p@20fps',b'Vodafone Music MP3/WMA/eAAC+ player MP4/H.264 player Organizer Document viewer Photo viewer/editor Voice memo/dial/commands Predictive text input (Swype)',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'","b'FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Removable Li-Ion 1200 mAh battery',b'Up to 400 h',b'Up to 9 h',"b'Black, White'",b'About 70 EUR',b'HSDPA 2100',b'HSPA 7.2/5.76 Mbps',,,,b'LED flash',,,b'Android 2.3.7 (Gingerbread)',b'BCM21553',b'832 MHz ARMv6',,,,,,,,,,
b'vodafone',b'Vodafone Smart Tab 10',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2012, February. Released 2012, February'",b'Discontinued',b'-',b'-',b'Mini-SIM',b'TFT',"b'10.0 inches, 290.0 cm2'","b'800 x 1280 pixels, 16:10 ratio (~151 ppi density)'",b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document viewer Voice memo Predictive text input',b'microSDHC (dedicated slot)',,,b'16GB (12.7GB user available)',"b'5 MP, AF'",b'720p',,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'2.0',"b'Accelerometer, compass'",,,,,,b'Non-removable Li-Ion battery',,,b'Black',b'About 300 EUR',b'HSDPA 2100',b'HSPA 14.4/5.76 Mbps',b'2 MP',b'',,,,,b'Android 3.2 (Honeycomb)',b'Qualcomm MSM8260 Snapdragon S3',b'Dual-core 1.2 GHz Scorpion',b'Adreno 220',,,,,,,,,
b'vodafone',b'Vodafone Smart Tab 7',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab-7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2012, February. Released 2012, February'",b'Discontinued',b'194 x 120 x 11.4 mm (7.64 x 4.72 x 0.45 in)',b'319 g (11.25 oz)',b'Mini-SIM',b'TFT',"b'7.0 inches, 142.1 cm2 (~61.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document viewer Voice memo Predictive text input',b'microSDHC (dedicated slot)',,,b'16GB (12.7GB user available)',"b'5 MP, AF'",b'720p',,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'2.0',"b'Accelerometer, compass'",,,,,,b'Non-removable Li-Ion 3400 mAh battery',,b'Up to 7 h',b'Black',b'About 230 EUR',b'HSDPA 2100',b'HSPA 14.4/5.76 Mbps',b'2 MP',b'',,,,,b'Android 3.2 (Honeycomb)',b'Qualcomm MSM8260 Snapdragon S3',b'Dual-core 1.2 GHz Scorpion',b'Adreno 220',,,,,,,,,
b'vodafone',b'Vodafone 155',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-155.jpg',b'GSM',b'GSM 900 / 1800',b'No',b'No',b'2012',b'Discontinued',b'110 x 56.5 x 13.5 mm (4.33 x 2.22 x 0.53 in)',b'68 g (2.40 oz)',b'Mini-SIM',b'TFT',"b'1.7 inches, 9.1 cm2 (~14.6% screen-to-body ratio)'",b'128 x 160 pixels (~121 ppi density)',b'SOS button Flashlight',b'No',b'Yes',b'Yes',b'0.3MB',,,b'No',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'microUSB (charging only)',b'',b'SMS',,b'No',b'No',b'Organizer Speed dial',b'Removable Li-Ion battery',b'Up to 700 h',b'Up to 10 h',b'Black',b'About 30 EUR',,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 555 Blue',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-555-new.jpg',b'GSM',b'GSM 900 / 1800',b'Yes',b'Yes',"b'2011, July. Released 2011, August'",b'Discontinued',b'110 x 61.1 x 12 mm (4.33 x 2.41 x 0.47 in)',b'-',b'Mini-SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~26.5% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'No',b'microSDHC (dedicated slot)',"b'Yes, Photocall'",b'Yes',b'40MB',b'2 MP',b'Yes',b'Facebook dedicated key OS level SNS integration MP3/eAAC+/WMA player MP4/H.263 player Organizer Voice memo Predictive text input',b'Yes',,b'Yes',b'No',"b'2.1, A2DP'",b'No',"b'FM radio, RDS'",b'2.0',b'',"b'SMS, MMS, Email, IM'",,b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 1000 mAh battery',b'Up to 324 h',b'Up to 3 h',b'White',b'About 70 EUR',,,,,,b'LED flash',,,,,b'200 MHz MTK 6235',,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 858 Smart',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2011, May. Released 2011, June'",b'Discontinued',b'103.8 x 56.8 x 12.6 mm (4.09 x 2.24 x 0.50 in)',b'104 g (3.67 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~41.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'No',b'microSDHC (dedicated slot)',,,b'130MB',b'2 MP',b'Yes',b'Vodafone Music MP3/WMA/eAAC+ player MP4/H.264 player Organizer Photo viewer/editor Voice memo/dial/commands Predictive text input (Swype)',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,b'HTML',,,,b'Removable Li-Ion battery',b'Up to 250 h (2G) / Up to 380 h (3G)',b'Up to 4 h (2G) / Up to 4 h 30 min (3G)',"b'White, Black, custom graphic designs'",b'About 130 EUR',b'HSDPA 2100',b'HSPA 3.6/0.384 Mbps',,,,,,,b'Android 2.2 (Froyo)',b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'No',,,,,,,,,
b'vodafone',b'Vodafone 945',b'https://fdn2.gsmarena.com/vv/bigpic/Vodafone-945.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',,,"b'2010, September. Released 2010, Q4'",b'Discontinued',b'109.1 x 55.9 x 14.1 mm (4.30 x 2.20 x 0.56 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT,  256K colors'","b'3.2 inches, 29.1 cm2 (~47.8% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",b'MP3/WAV/eAAC+/WMA player MP4/H.264 player Organizer Voice memo Predictive text input',b'microSDHC (dedicated slot)',,,b'300MB',b'5 MP',b'Yes',,b'Yes',,b'No',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'2.0',b'Accelerometer',,b'HTML',,,,b'Removable Li-Ion 1500 mAh battery',b'Up to 216 h (2G) / Up to 233 h (3G)',b'Up to 4 h (2G) / Up to 4 h (3G)',"b'Black, Silver'",,b'HSDPA 900 / 2100',b'HSPA 3.6/0.384 Mbps',b'Yes',b'',,b'LED flash',,,b'Android 2.1 (Eclair)',,,,,,,b'1.18 W/kg (head)',,,,,
b'vodafone',b'Vodafone 553',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-553.jpg',b'GSM',b'GSM 900 / 1800',b'Class 12',b'Class 12',"b'2010, September. Released 2010, Q4'",b'Discontinued',b'108 x 53 x 14.9 mm (4.25 x 2.09 x 0.59 in)',b'119 g (4.20 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~42.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'No',b'microSDHC (dedicated slot)',"b'1000 entries, Photocall'",b'Practically unlimited',b'50MB',b'2 MP',b'Yes',"b'Facebook, Twitter, Gtalk, Yahoo messenger, ICQ MP3/WAV player MP4/H.263 player Organizer Voice memo Predictive text input'",b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'No',b'FM radio',b'2.0',b'',"b'SMS, MMS, Email, IM'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 900 mAh battery',b'Up to 384 h',b'Up to 5 h 20 min',"b'White, Black, Pink, Silver'",,,,,,,,,,,,,,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 360 H2',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-360-h2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,b'Not officially announced yet',b'Discontinued',b'125 x 60.8 x 11.7 mm (4.92 x 2.39 x 0.46 in)',b'137 g (4.83 oz)',b'Mini-SIM',b'Super AMOLED',"b'3.7 inches, 39.0 cm2 (~51.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'",b'3D UI',b'microSDHC (dedicated slot)',,,b'16GB',"b'8 MP, AF'",b'720p@30fps',b'MP3/eAAC+/WAV player DivX/WMV/MP4/H.264 player Organizer Document viewer Voice memo Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,b'HTML',,,,b'Removable Li-Ion battery',,,"b'Black, Silver'",,b'HSDPA 2100',b'HSPA 7.2/5.76 Mbps',b'Yes',b'',,b'LED flash',,,b'LiMo OS',,b'1.0 GHz Cortex-A8',b'PowerVR SGX',,,,,,,,,
b'vodafone',b'Vodafone 845',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-845-final.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',,,"b'2010, April. Released 2010, May'",b'Discontinued',b'99 x 55 x 14 mm (3.90 x 2.17 x 0.55 in)',b'109 g (3.84 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~44.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'No',b'microSDHC (dedicated slot)',,,b'512MB 128MB RAM',"b'3.15 MP, AF'",b'Yes',b'MP3/WAV/eAAC+/WMA player MP4/H.264 player Document viewer  Organizer Photo/video editor Voice memo Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'2.0',"b'Accelerometer, compass'",,b'HTML',,,,b'Removable Li-Ion 1200 mAh battery',b'Up to 288 h',b'Up to 3 h 30 min',b'Black',b'About 100 EUR',b'HSDPA 900 / 2100',b'HSPA 3.6/0.384 Mbps',,,,,,,b'Android 2.1 (Eclair)',,,,,,,,,,,,
b'vodafone',b'Vodafone 547',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-547.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'Class 10',"b'2010, April. Released 2010, April'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 22.3 cm2'","b'240 x 400 pixels, 5:3 ratio (~167 ppi density)'",b'No',b'microSD (dedicated slot)',"b'Yes, Photocall'",b'Yes',,b'2 MP',b'Yes',b'MP3/AAC player MP4/H.264 player Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',b'2.0',b'No',"b'Stereo FM radio, RDS'",b'Proprietary',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML (Opera Mini)',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',,,"b'Black, White, Red'",b'About 40 EUR',,,,,,,,,,,,,,,,b'0.65 W/kg (head)',,,,,
b'vodafone',b'Vodafone 546',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-546.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'Class 10',"b'2010, April. Released 2010, April'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2'","b'320 x 240 pixels, 4:3 ratio (~182 ppi density)'",b'No',b'microSD (dedicated slot)',"b'Yes, Photocall'",b'Yes',,b'2 MP',b'Yes',b'MP3 player MP4/H.263 player Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',b'2.1',b'No',"b'FM radio, RDS'",b'No',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML (Opera Mini)',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',,,"b'Black, White'",,,,,,,,,,,,,,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 543',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-543.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'Class 10',"b'2010, April. Released 2010, April'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.4 inches, 17.8 cm2'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'No',b'microSD (dedicated slot)',"b'Yes, Photocall'",b'Yes',,b'1.3 MP',b'Yes',b'MP3/AAC player MP4/H.264 player Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',b'2.1',b'No',"b'Stereo FM radio, RDS'",b'Proprietary',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML (Opera Mini)',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',,,"b'Black, Red'",b'About 30 EUR',,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 350 Messaging',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-350-messaging-new.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'Yes',"b'2010, April. Released 2010, August'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 65K colors'",b'1.8 inches',b'',b'No',b'No',b'Yes',b'Yes',,,,b'Weather forecast Calculator Fake calls Currency converter Predictive text input',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',b'No',,b'Removable Li-Ion battery',,,"b'Black, White, Pink'",,,,,,,,,,,,,,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 345 Text',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-350-messaging-new.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'No',"b'2010, April. Released 2010, July'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 65K colors'",b'1.8 inches',b'',b'No',b'No',b'Yes',b'Yes',,,,b'Calculator Fake calls Currency converter Predictive text input',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',b'SMS',b'No',b'Yes',b'No',,b'Removable Li-Ion battery',,,"b'Black, White, Pink'",b'About 20 EUR',,,,,,,,,,,,,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 248',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-248.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'No',"b'2010, April. Released 2010, May'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 65K colors'",b'1.8 inches',b'',b'No',b'No',b'Yes',b'Yes',,,,b'Calculator Currency converter Predictive text input',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',b'SMS',b'No',b'No',b'No',,b'Removable Li-Ion battery',,,b'Black',,,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 247 Solar',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-247.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'No',"b'2010, April. Released 2010, May'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 65K colors'",b'1.44 inches',b'',b'Flashlight',b'No',b'Yes',b'Yes',,,,b'No',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',b'SMS',b'No',b'No',b'No',b'Made of eco-friendly materials Calculator Currency converter Predictive text input',b'Removable Li-Ion battery',b'',b'',b'Black',,,,,,,,,,,,,,,,,,,b'Solar panel for battery charging',,,
b'vodafone',b'Vodafone 246',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-247.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'No',"b'2010, April. Released 2010, April'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 65K colors'",b'1.44 inches',b'',b'Flashlight',b'No',b'Yes',b'Yes',,,,b'No',b'Yes',,b'No',b'No',b'No',b'No',"b'Stereo FM radio, RDS'",b'No',b'',b'SMS',b'No',b'No',b'No',b'Calculator Currency converter Predictive text input',b'Removable Li-Ion battery',,,b'Black',,,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 250',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-250.jpg',b'GSM',b'GSM 900 / 1800',b'No',b'No',"b'2010, February. Released 2010, February'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.45 inches, 6.8 cm2'","b'128 x 128 pixels, 1:1 ratio (~125 ppi density)'",b'Flashlight',b'No',b'100 entries',b'Yes',b'No',,,b'No',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'miniUSB (charging only)',b'',b'SMS',b'No',b'Yes',b'No',b'Organizer Voice memo',b'Removable Li-Ion 500 mAh battery',b'Up to 400 h',b'Up to 5 h',"b'Black, Grey-Blue'",b'About 10 EUR',,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 150',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-150.jpg',b'GSM',b'GSM 900 / 1800',b'No',b'No',"b'2010, February. Released 2010, February'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'STN, monochrome graphics'","b'1.0 inches, 3.0 cm2'","b'96 x 64 pixels, 3:2 ratio (~115 ppi density)'",b'Flashlight',b'No',b'100 entries',b'Yes',b'No',,,b'No',b'Yes',,b'No',b'No',b'No',b'No',b'No',b'miniUSB (charging only)',b'',b'SMS',b'No',b'Yes',b'No',b'Organizer Voice memo',b'Removable Li-Ion 500 mAh battery',b'Up to 400 h',b'Up to 5 h',b'Black',b'About 10 EUR',,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 1240',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-1240.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, November. Released 2009, November'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT, 256K colors'","b', -'","b'320 x 240 pixels, 4:3 ratio'",b'No',b'microSD (dedicated slot)',"b'1000 entries, Photocall'",b'Yes',,b'2 MP',b'Yes',b'MP3/AAC player MP4/H.264 player Document viewer Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'',b'No',b'2.0',b'',"b'SMS, MMS, Email, Push Email'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',b'Up to 400 h',b'Up to 3 h 30 min',b'Black',,b'HSDPA 2100',b'HSPA 3.6/0.384 Mbps',,,,,,,,,,,,,,,,,,b'QWERTY',
b'vodafone',b'Vodafone 840',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-840.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',,,"b'2009, November. Released 2009, November'",b'Discontinued',b'106 x 56 x 13.9 mm (4.17 x 2.20 x 0.55 in)',b'93 g (3.28 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.8 inches, 24.3 cm2 (~40.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'MP3/AAC player MP4/H.264 player Organizer Voice memo Predictive text input',b'microSDHC (dedicated slot)',"b'1000 contacts, Photocall'",b'Yes',b'100MB',b'2 MP',b'Yes',,b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'No',b'No',b'2.0',b'',"b'SMS, MMS, Email'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',b'Up to 380 h',b'Up to 4 h',"b'Silver, White, Pink, Green'",,b'UMTS 2100',"b'Yes, 384 kbps'",b'Yes',b'',,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 541',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-541.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2009, November. Released 2009, November'",b'Discontinued',b'96 x 52 x 16 mm (3.78 x 2.05 x 0.63 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~35.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'Home screen widgets',b'microSDHC (dedicated slot)',"b'500 contacts, Photocall'",b'Yes',b'5MB',b'1.3 MP',b'Yes',b'No',b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'No',"b'Stereo FM radio, RDS'",b'miniUSB 1.1',b'Accelerometer',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player MP4/H.264 player Organizer Voice memo Predictive text input',b'Removable Li-Ion 750 mAh battery',b'Up to 380 h',b'Up to 4 h 30 min',"b'Black, White, Red, Pink'",,,,,,,,,,,,,,,,,,,,,,b'Up to 15 h'
b'vodafone',b'Vodafone 540',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-540.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2009, November. Released 2009, November'",b'Discontinued',b'109 x 47 x 11.3 mm (4.29 x 1.85 x 0.44 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~24.6% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'No',b'microSDHC (dedicated slot)',"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'",b'8MB',b'2 MP',b'Yes',b'MP3/AAC player MP4/H.264 player Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',b'Yes',b'No',b'FM radio',b'',b'',"b'SMS, MMS, Email'","b'WAP 2.0/xHTML, HTML (Opera Mini)'",b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 850 mAh battery',b'Up to 300 h',b'Up to 4 h',b'Black',,,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 340',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-340.jpg',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2009, November. Released 2009, November'",b'Discontinued',b'109 x 45.5 x 12 mm (4.29 x 1.79 x 0.47 in)',b'69 g (2.43 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.5 inches, 7.1 cm2 (~14.3% screen-to-body ratio)'",b'128 x 160 pixels (~137 ppi density)',b'No',b'No',b'Yes',b'Yes',b'2MB',b'VGA',b'No',b'MP3/AAC player Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',b'Yes',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',b'No',,b'Removable Li-Ion 700 mAh battery',b'Up to 270 h',b'Up to 3 h',"b'Black, White, Pink'",b'About 20 EUR',,,,,,,,,,,,,,,,,,,,,
b'vodafone',b'Vodafone 360 H1',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-360-h1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, September. Released 2009, November'",b'Discontinued',"b'115.9 x 58 x 12.9 mm, 60 cc (4.56 x 2.28 x 0.51 in)'",b'134 g (4.73 oz)',b'Mini-SIM',b'AMOLED',"b'3.5 inches, 34.9 cm2 (~51.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'",b'3D user interface',b'microSDHC (dedicated slot)',,,b'16GB',"b'5 MP, AF'",b'720p@30fps',b'MP3/video player Organizer',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'2.0',b'',,b'HTML',,,,b'Removable Li-Ion battery',b'Up to 460 h',b'Up to 10 h (2G) / Up to 6 h 40 min (3G)',"b'Black, Silver'",,b'HSDPA 2100',b'HSPA',b'Yes',b'',,b'LED flash',,,b'LiMo OS',,b'600 MHz Cortex-A8',b'PowerVR SGX',,,,,,,,,
b'vodafone',b'Vodafone 360 M1',b'https://fdn2.gsmarena.com/vv/bigpic/vodafone-360-m1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,,"b'2009, September. Released 2009, November'",b'Discontinued',b'112 x 55.4 x 13.4 mm (4.41 x 2.18 x 0.53 in)',b'111 g (3.92 oz)',b'Mini-SIM',b'TFT',"b'3.2 inches, 29.1 cm2 (~47.0% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",b'Vodafone 360 3D UI applications',b'microSDHC (dedicated slot)',,,b'1GB',b'3.15 MP',b'480p@15fps',"b'MP3, AAC, AAC+, AAC+(e), WMA, AMR player DivX/XViD/MP4/H.264/WMV player Organizer'",b'Yes',,b'Yes',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'2.0',b'',,b'HTML',,,,b'Removable Li-Ion 1500 mAh battery',b'Up to 490 h',b'Up to 10 h (2G) / Up to 6 h 40 min (3G)',"b'Black, White, Red'",b'About 290 EUR',b'HSDPA 2100',b'HSPA 3.6/0.384 Mbps',b'Yes',b'',,,,,b'Linux-based LiMo R2.0.1',,b'600 MHz Cortex-A8',b'PowerVR SGX',,,,,,,,,
