Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM
b'celkon',b'Celkon C22',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c22.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2011',b'Discontinued',b'108 x 47 x 15 mm (4.25 x 1.85 x 0.59 in)',b'75 g (2.65 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~20.1% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'1.3 MP',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black/Red',,,b'Flashlight',,b'Up to 400 h',b'Up to 5 h',,,b'No',b'Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C347',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c347.jpg',b'GSM',b'GSM 850 / 1900 - SIM 1 & SIM 2',,,,b'2011',b'Discontinued',b'105 x 43 x 11 mm (4.13 x 1.69 x 0.43 in)',b'69 g (2.43 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~22.6% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'VGA',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black/Red',,,b'Flashlight',,b'Up to 400 h',b'Up to 5 h 20 min',,,b'No',b'Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C357',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c357.jpg',b'GSM',b'GSM 850 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'105 x 43 x 14 mm (4.13 x 1.69 x 0.55 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~22.6% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'VGA',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black/Blue',,,b'Flashlight',,b'Up to 400 h',b'Up to 5 h 20 min',,,b'No',b'Black/white list Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C367',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c367.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'103 x 44 x 12 mm (4.06 x 1.73 x 0.47 in)',b'86 g (3.03 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~22.5% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'VGA',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,"b'Stereo FM radio, WFM'",b'microUSB',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black',,b'About 30 EUR',b'Flashlight',,b'Up to 400 h',b'Up to 5 h',,,b'No',b'Black/white list Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C409',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c409.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2011',b'Discontinued',b'110 x 44 x 16 mm (4.33 x 1.73 x 0.63 in)',b'86 g (3.03 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'1.3 MP',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,"b'Stereo FM radio, WFM'",b'microUSB',b'',b'Removable Li-Ion 1800 mAh battery',,b'Black/Red',,,b'Flashlight',,b'Up to 600 h',b'Up to 7 h 30 min',,,b'No',b'Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C449',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c449.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'110 x 46 x 11 mm (4.33 x 1.81 x 0.43 in)',b'89 g (3.14 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~20.2% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'1.3 MP',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 1000 mAh battery',,"b'Black/Silver, White/Silver'",,,b'No',,b'Up to 400 h',b'Up to 5 h',,,b'Audio/video player Mobile tracker',,,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C517',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c517.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'108 x 46 x 14 mm (4.25 x 1.81 x 0.55 in)',b'106 g (3.74 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~20.5% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'VGA',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 1800 mAh battery',,b'Black',,,b'Flashlight',,b'Up to 600 h',b'Up to 7 h 30 min',,,b'No',b'Audio/video player Blacklist',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C567',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c567.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.0 inches, 12.6 cm2 (~26.6% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'VGA',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'WFM',b'microUSB',b'Accelerometer',b'Removable Li-Ion battery',,b'Black',,b'About 30 EUR',b'Flashlight',,,,,,b'No',b'Audio/video player',,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C747',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c747.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'112 x 47 x 13 mm (4.41 x 1.85 x 0.51 in)',b'128 g (4.52 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.2 inches, 15.2 cm2 (~28.9% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',,,,,b'microSDHC (dedicated slot)',,b'2 MP',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,b'WFM',b'microUSB',b'Accelerometer',b'Removable Li-Ion 1500 mAh battery',,b'Black/Gray',,b'About 50 EUR',b'No',,b'Up to 550 h',b'Up to 6 h 40 min',,,b'Audio/video player',,,,b'Yes',b'No',b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
b'celkon',b'Celkon C867',b'https://fdn2.gsmarena.com/vv/bigpic/celkon-c867.jpg',b'GSM / CDMA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2010',b'Discontinued',b'110 x 44 x 16 mm (4.33 x 1.73 x 0.63 in)',b'100 g (3.53 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.0 inches, 12.4 cm2 (~25.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,b'microSDHC (dedicated slot)',,b'1.3 MP',,b'Yes',,,b'Yes',,b'No',b'2.0',b'No',,"b'Stereo FM radio, WFM'",b'microUSB',b'Accelerometer',b'Removable Li-Ion 1000 mAh battery',,b'Black',,b'About 70 EUR',b'CDMA 800 / 1900',,b'Up to 400 h',b'Up to 5 h',,,b'Flashlight',b'Audio/video player Blacklist',,,b'Yes',b'No',b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,
