Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Infrared port,Clock,Alarm,3G bands,Speed,OS,Chipset,CPU,GPU,Internal,Features,Single_1,Video_1,NFC,4G bands,Keyboard
b'maxwest',b'Maxwest Android 330',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-330.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Class 12',b'Class 12',"b'2014, January. Released 2014, January'",b'Discontinued',b'119 x 62.8 x 11.4 mm (4.69 x 2.47 x 0.45 in)',b'116 g (4.09 oz)',b'Dual SIM (Dual stand-by)',"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~48.8% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'No',b'microSDHC (dedicated slot)',,,b'2 MP',b'Yes',,b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'FM radio',b'microUSB',b'Accelerometer',,,,,,"b'Li-Ion 1300 mAh, removable'",b'Up to 180 h',b'Up to 6 h',"b'Black, White, Blue, Red'",,,,,,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'512MB 256MB RAM',b'LED flash',,,b'No',,
b'maxwest',b'Maxwest Tab Phone 72DC',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-72dc.jpg',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, August. Released 2013, August'",b'Discontinued',b'187 x 107 x 9.2 mm (7.36 x 4.21 x 0.36 in)',b'270 g (9.52 oz)',b'Dual SIM (Dual stand-by)',b'TFT',"b'7.0 inches, 137.9 cm2 (~68.9% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'TV-out',b'microSDHC (dedicated slot)',,,b'2 MP',b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'Proprietary',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2800 mAh, non-removable'",b'Up to 50 h',b'Up to 6 h',b'Black/White',,,,b'UMTS 850 / 1900 / 2100',b'HSPA 7.2/5.76 Mbps',b'Android 4.1.2 (Jelly Bean)',b'Mediatek MT8377 (40 nm)',b'Dual-core 1.2 GHz Cortex-A9',b'PowerVR SGX531u',b'8GB 1GB RAM',,b'VGA',b'',b'No',,
b'maxwest',b'Maxwest MX-210TV',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-MX-210TV.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Yes',b'Yes',"b'2013, September. Released 2013, November'",b'Discontinued',b'92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in)',b'82 g (2.89 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~30.4% screen-to-body ratio)'",b'128 x 160 pixels (~102 ppi density)',b'No',b'microSDHC (dedicated slot)',b'Yes',b'Yes',b'1.3 MP',b'Yes',b'SNS applications Analog TV MP3/WAV/WMA player MP4/H.263 player Organizer Predictive text input',b'Yes',,b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'miniUSB',b'',"b'SMS, MMS'",,b'Downloadable',b'No',,"b'Li-Ion 800 mAh, removable'",b'Up to 160 h',b'Up to 4 h',"b'Black, Red, Blue'",,,,,,,,,,"b'32MB RAM, 32MB ROM'",,,,b'No',,
b'maxwest',b'Maxwest Android 320',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-320.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Class 12',b'Class 12',"b'2013, September. Released 2013, October'",b'Discontinued',b'115 x 62.4 x 13.4 mm (4.53 x 2.46 x 0.53 in)',b'105 g (3.70 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.8% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'No',b'microSDHC (dedicated slot)',,,b'2 MP',b'480p@30fps',,b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1450 mAh, removable'",b'Up to 600 h',b'Up to 12 h',b'White',,,,,,b'Android 4.0 (Ice Cream Sandwich)',,b'1.0 GHz',,b'512MB 256MB RAM',,,,b'No',,
b'maxwest',b'Maxwest Orbit 6200',b'https://fdn2.gsmarena.com/vv/bigpic/Orbit-6200-White-web.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, October. Released 2013, October'",b'Discontinued',b'167.3 x 85.4 x 9 mm (6.59 x 3.36 x 0.35 in)',b'210 g (7.41 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~69.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~184 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2350 mAh, removable'",b'Up to 300 h',b'Up to 6 h',"b'Black, White'",,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572AW',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',b'4GB 512MB RAM',b'LED flash',b'VGA',b'',b'No',,
b'maxwest',b'Maxwest Orbit 5400T',b'https://fdn2.gsmarena.com/vv/bigpic/Orbit-5400T-white-web.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, August. Released 2013, October'",b'Discontinued',b'143 x 74.2 x 9.6 mm (5.63 x 2.92 x 0.38 in)',b'170 g (6.00 oz)',b'Dual SIM (dual stand-by)',b'TFT',"b'5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 900 h (2G) / Up to 750 h (3G)',b'Up to 24 h (2G) / Up to 10 h (3G)',"b'Black, White, Red'",,,,b'HSDPA 850 / 1700 / 2100',b'HSPA 21.1/5.76 Mbps',b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',b'4GB 512MB RAM',b'LED flash',b'VGA',b'',b'No',,
b'maxwest',b'Maxwest Orbit 4400',b'https://fdn2.gsmarena.com/vv/bigpic/Orbit-4400-white-web.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, September. Released 2013, October'",b'Discontinued',b'127 x 64 x 9.3 mm (5.0 x 2.52 x 0.37 in)',b'115 g (4.06 oz)',b'Dual SIM (dual stand-by)',b'TFT',"b'4.0 inches, 45.5 cm2 (~56.0% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'5 MP, AF'",b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 1400 mAh, removable'",b'Up to 240 h',b'Up to 8 h',"b'Black, White'",,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.2 (Jelly Bean)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'4GB 512MB RAM',b'LED flash',b'VGA',b'',b'No',,
b'maxwest',b'Maxwest Orbit 3000',b'https://fdn2.gsmarena.com/vv/bigpic/Orbit-3000-White-web.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, October. Released 2013, October'",b'Discontinued',b'120.4 x 63.9 x 10.7 mm (4.74 x 2.52 x 0.42 in)',b'116 g (4.09 oz)',b'Dual SIM (dual stand-by)',b'TFT',"b'3.5 inches, 36.5 cm2 (~47.4% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'microSDHC (dedicated slot)',,,b'3.15 MP',b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1100 mAh, removable'",b'Up to 240 h',b'Up to 8 h',"b'Black, White, Pink'",,,,b'HSDPA 850 / 1900',b'HSPA',b'Android 4.2 (Jelly Bean)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'4GB 512MB RAM',,b'1.3 MP',b'',b'No',,
b'maxwest',b'Maxwest Orbit X50',b'https://fdn2.gsmarena.com/vv/bigpic/Orbit-X50-white-web2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, October. Released 2013, October'",b'Discontinued',b'152 x 78 x 9.9 mm (5.98 x 3.07 x 0.39 in)',b'127 g without battery (4.48 oz)',b'Dual SIM (dual stand-by)',b'LED-backlit IPS LCD',"b'5.0 inches, 68.9 cm2 (~58.1% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 250 h',b'Up to 4 h',"b'Black, White'",,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.2.2 (Jelly Bean)',b'Broadcom BCM23550',b'Quad-core 1.2 GHz Cortex-A7',,b'4GB 512MB RAM',b'LED flash',b'0.3 MP',b'',b'No',,
b'maxwest',b'Maxwest Orbit Z50',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-z50.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, June. Released 2013, June'",b'Discontinued',b'143 x 72 x 8.9 mm (5.63 x 2.83 x 0.35 in)',b'170 g (6.00 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'LED-backlit IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 900 h (2G) / Up to 750 h (3G)',b'Up to 24 h (2G) / Up to 10 h (3G)',"b'Black, White, Pink'",,,,b'HSDPA 850 / 1900  - D570a',b'HSPA 7.2/5.76 Mbps',b'Android 4.1.2 (Jelly Bean)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',b'4GB 1GB RAM',b'Dual-LED flash',b'2 MP',b'',b'No',,
b'maxwest',b'Maxwest Orbit 5400',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-5400.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, April. Released 2013, June'",b'Discontinued',b'143 x 74.2 x 9.6 mm (5.63 x 2.92 x 0.38 in)',b'170 g (6.00 oz)',b'Dual SIM',b'TFT',"b'5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'8 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 900 h (2G) / Up to 750 h (3G)',b'Up to 24 h (2G) / Up to 10 h (3G)',"b'Black, Black/Red, White'",,,,b'HSDPA 850 / 1900',b'HSPA 7.2/5.76 Mbps',b'Android 4.1.2 (Jelly Bean)',b'Mediatek MT6577 (40 nm)',b'Dual-core 1.0 GHz Cortex-A9',b'PowerVR SGX531u',b'4GB 512MB RAM',b'LED flash',b'VGA',b'',b'No',,
b'maxwest',b'Maxwest Orbit 4600',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-4600.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2013, May. Released 2013, July'",b'Discontinued',b'136.5 x 70 x 8.9 mm (5.37 x 2.76 x 0.35 in)',b'170 g (6.00 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'TFT',"b'4.7 inches, 60.9 cm2 (~63.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~208 ppi density)'",,b'microSDHC (dedicated slot)',,,"b'5 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 1700 mAh, removable'",b'Up to 900 h (2G) / Up to 750 h (3G)',b'Up to 24 h (2G) / Up to 10 h (3G)',"b'Black, Black/Blue, Black/Red, White'",,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.2.2 (Jelly Bean)',b'Broadcom BCM21663',b'1.2 GHz dual-core Cortex-A9',b'Broadcom VideoCore IV',b'4GB 512MB RAM',b'LED flash',b'VGA',b'',b'No',,
b'maxwest',b'Maxwest MX-200TV',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-200tv.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Class 12',b'Class 12',"b'2013, July. Released 2013, September'",b'Discontinued',b'102 x 57 x 11 mm (4.02 x 2.24 x 0.43 in)',b'69 g (2.43 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~21.7% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'No',b'microSDHC (dedicated slot)',b'Yes',b'Yes',b'1.3 MP',b'Yes',b'Analog TV SNS apps MP3/AAC+/WAV/WMA player MP4/H.264 player Predictive text input',b'Yes',,b'Yes',b'No',b'2.1',b'No',b'Stereo FM radio; built-in antenna',b'miniUSB',b'',"b'SMS, MMS, IM'",,b'Downloadable',b'No',,"b'Li-Ion 800 mAh, removable'",b'Up to 500 h',b'Up to 10 h',"b'Black/Blue, Black/Pink, White'",,,,,,,b'Mediatek MT6250',,,"b'32MB RAM, 32MB ROM'",,,,b'No',,b'QWERTY'
b'maxwest',b'Maxwest MX-100',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-100.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Yes',b'No',"b'2013, July. Released 2013, July'",b'Discontinued',b'110 x 45 x 14 mm (4.33 x 1.77 x 0.55 in)',b'73 g (2.57 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'Flashlight',b'microSDHC (dedicated slot)',b'200 entries',b'Yes',b'VGA',b'Yes',b'No',b'Yes',,b'No',b'No',b'2.1',b'No',b'Stereo FM radio; built-in antenna',b'miniUSB',b'',"b'SMS, MMS'",,b'Downloadable',b'No',,"b'Li-Ion 800 mAh, removable'",b'Up to 800 h',b'Up to 8 h',"b'Black, White, Red, Blue'",,,,,,,,,,"b'32MB RAM, 32MB ROM'",,,,b'No',,
